item_code,description,unit,total_quantity,total_cost,average_low_bid_price,average_three_lowest_bids,bid_count,source_page
460E0200,Special Surface Finish,SqFt,6968,46858.5,6.72,7.19,2,16
460E0300,Breakout Structural Concrete,CuYd,307.7,731523.6,2377.39,2115.94,13,16
460E0310,Breakout and Replace Grout Pad,Each,20,141600,7080,5805.95,3,16
460E0380,Install Dowel in Concrete,Each,3145,121342,38.58,41.67,13,16
460E0500,"Deck Drain, Girder Bridge",Each,27,194006.64,7185.43,6561.94,4,16
460E0502,"Deck Drain, Slab Bridge",Each,22,8100,368.18,431.64,2,16
460E0650,Roadway Canopy,LS,1,153000,153000,172450.5,1,16
462E0100,Class M6 Concrete,CuYd,1438.8,2739357.46,1903.92,1819.65,17,16
462E0250,Cellular Grout,CuYd,451.5,172199.63,381.39,426.37,8,16
464E0100,Controlled Density Fill,CuYd,1351.8,646991.39,478.61,493.41,23,16
465E0100,"Class A45 Concrete, Drilled Shaft",CuYd,689.5,1485844.9,2154.96,1934.29,5,16
465E0200,Drilled Shaft Excavation,CuYd,689.6,688562.37,998.5,995.06,5,16
465E1038,"38"" Permanent Casing",Ft,43.6,29430,675,851.71,1,16
465E1044,"44"" Permanent Casing",Ft,33,18942,574,1537,1,16
465E1056,"56"" Permanent Casing",Ft,302.2,213522.43,706.56,862.94,1,16
465E1062,"62"" Permanent Casing",Ft,41,61878,1509.22,1434.18,2,16
470E0020,Pipe Handrail,Ft,229.2,40923.65,178.55,268.6,2,16
470E0040,Steel Pedestrian Railing,Ft,123,42753.57,347.59,306.3,1,16
470E0044,Timber Pedestrian Railing,Ft,134,25139.74,187.61,175.87,1,16
470E0120,Steel Pedestrian Railing on Sidewalk,Ft,1174.3,364350.5,310.27,323.5,3,16
470E0220,Steel Pedestrian Railing on Concrete Barrier,Ft,1244.5,215608.9,173.25,185.2,3,16
470E0380,Modify Bridge Rail,Ft,134,10050,75,121,1,16
470E0420,Type T101 Bridge Railing,Ft,2067,500556,242.17,260.75,5,17
470E0440,Wyoming Bridge Railing,Ft,504,134064,266,277.5,1,17
480E0100,Reinforcing Steel,Lb,2015088,6214586.73,3.08,3.69,45,17
480E0200,Epoxy Coated Reinforcing Steel,Lb,699453,2301515.5,3.29,3.35,25,17
480E0300,Stainless Reinforcing Steel,Lb,909617,4726878.56,5.2,5.12,6,17
480E0504,No. 4 Rebar Splice,Each,660,41568,62.98,53.07,8,17
480E0505,No. 5 Rebar Splice,Each,1154,91324,79.14,62.04,10,17
480E0506,No. 6 Rebar Splice,Each,1013,77346,76.35,71.62,7,17
480E0507,No. 7 Rebar Splice,Each,10,795,79.5,82.75,1,17
480E0508,No. 8 Rebar Splice,Each,14,1312.4,93.74,110.46,2,17
480E0509,No. 9 Rebar Splice,Each,4,508.8,127.2,134.4,1,17
480E0511,No. 11 Rebar Splice,Each,432,93705.12,216.91,234.73,1,17
480E5000,Galvanic Anode,Each,1504,104092.56,69.21,61.67,7,17
491E0005,Two Coat Bridge Deck Polymer Chip Seal,SqYd,31360,1871489.4,59.68,62.92,11,17
491E0007,Two Coat Bridge Deck Polymer High Friction Chip Seal,SqYd,1851.9,172970,93.4,100.99,2,17
491E0110,Abrasive Blasting of Bridge Deck,SqYd,33211.9,236260.21,7.11,7.72,11,17
491E0120,Bridge Deck Grinding,SqYd,33712.6,1036218.63,30.74,32.08,12,17
491E0130,"Concrete Removal, Class A",SqYd,783.4,319505.5,407.84,364.37,11,17
491E0140,"Concrete Removal, Class B",SqYd,783.4,138452.7,176.73,186.74,11,17
491E0172,"Concrete Patching Material, Bridge Deck",CuFt,6091,506167,83.1,103.69,11,17
510E0100,Extract Pile,Each,105,69252.1,659.54,651.4,5,17
510E0300,Preboring Pile,Ft,4552,576979,126.75,139.63,12,17
510E3120,HP 10 Pile Tip Reinforcement,Each,16,2592,162,248.5,1,17
510E3130,HP 12 Pile Tip Reinforcement,Each,174,28323.6,162.78,159.11,2,17
510E3140,HP 14 Pile Tip Reinforcement,Each,84,14246.4,169.6,169.2,1,17
510E3260,HP 10 Steel Pile Vertical Splice,Each,7,105000,15000,11265.97,1,17
510E3361,"HP 10x42 Steel Test Pile, Furnish and Drive",Ft,1215,116060,95.52,112.35,5,17
510E3365,"HP 10x42 Steel Bearing Pile, Furnish and Drive",Ft,8750,387690,44.31,59.7,6,17
