contract_id,category,details
sd_sddot_20211215_item_001,bid_total_difference,sd_sddot_20211215_item_001_bid_004 preserves printed item total 41278198.89 and reported bid total 41293664.87; difference=-15465.98.
sd_sddot_20211215_item_001,project_pcn_cardinality,"Project No. values 'IM 0293(106)76, P 1400(16), P 1423(07), P 8050(81)' do not align with PCN values '03RA, 05NF, 06Y0,'."
sd_sddot_20220302_item_001,project_pcn_cardinality,"Project No. values 'BRO 8003(37), BRO 8008(04), BRO 8014(37), BRO 8030(16), BRO 8042(50), BRO 8044(14)' do not align with PCN values '08A6, 08A7, 08A8,'."
sd_sddot_20220406_item_001,abstract_parse,page 7 line 122: malformed quantity ''
sd_sddot_20220406_item_001,abstract_parse,page 18 line 122: malformed quantity ''
sd_sddot_20220406_item_001,bid_total_difference,sd_sddot_20220406_item_001_bid_001 preserves printed item total 20017270.07 and reported bid total 20025525.25; difference=-8255.18.
sd_sddot_20220406_item_001,bid_total_difference,sd_sddot_20220406_item_001_bid_002 preserves printed item total 20243919.13 and reported bid total 20252071.12; difference=-8151.99.
sd_sddot_20220406_item_001,bid_total_difference,sd_sddot_20220406_item_001_bid_003 preserves printed item total 20872005.84 and reported bid total 20879951.47; difference=-7945.63.
sd_sddot_20220420_item_004,award_amount_difference,"Final award 614062.68 resolves uniquely by vendor to abstract bid 854062.68 for TRU-FORM CONSTRUCTION, INC.."
sd_sddot_20220420_item_004,bid_total_difference,sd_sddot_20220420_item_004_bid_001 preserves printed item total 614062.68 and reported bid total 854062.68; difference=-240000.
sd_sddot_20220511_item_001,abstract_parse,page 13 line 268: malformed quantity ''
sd_sddot_20220511_item_001,abstract_parse,page 28 line 268: malformed quantity ''
sd_sddot_20220511_item_001,bid_total_difference,sd_sddot_20220511_item_001_bid_001 preserves printed item total 35013383.84 and reported bid total 35035743.84; difference=-22360.
sd_sddot_20220511_item_001,bid_total_difference,sd_sddot_20220511_item_001_bid_002 preserves printed item total 37113660.73 and reported bid total 37135260.72; difference=-21599.99.
sd_sddot_20220511_item_001,bid_total_difference,sd_sddot_20220511_item_001_bid_003 preserves printed item total 41973296.28 and reported bid total 41995502; difference=-22205.72.
sd_sddot_20220615_item_005,line_extension_difference,"sd_sddot_20220615_item_005_line_0008_001 preserves printed quantity 774, unit price 37.5, and extension 329025; difference=-300000."
sd_sddot_20220615_item_005,line_extension_difference,"sd_sddot_20220615_item_005_line_0008_002 preserves printed quantity 774, unit price 31.67, and extension 277872.58; difference=-253360."
sd_sddot_20221207_item_001,abstract_parse,page 11 line 226: malformed quantity ''
sd_sddot_20221207_item_001,abstract_parse,page 11 line 227: malformed quantity ''
sd_sddot_20221207_item_001,bid_total_difference,sd_sddot_20221207_item_001_bid_001 preserves printed item total 34244756.23 and reported bid total 34295545.45; difference=-50789.22.
sd_sddot_20221207_item_001,bid_total_difference,sd_sddot_20221207_item_001_bid_002 preserves printed item total 37362905.93 and reported bid total 37413695.18; difference=-50789.25.
sd_sddot_20230201_item_009,abstract_parse,page 45 line 10: malformed quantity ''
sd_sddot_20230201_item_009,abstract_parse,page 45 line 11: malformed quantity ''
sd_sddot_20230201_item_009,abstract_parse,page 47 line 10: malformed quantity ''
sd_sddot_20230201_item_009,abstract_parse,page 47 line 11: malformed quantity ''
sd_sddot_20230201_item_009,bid_total_difference,sd_sddot_20230201_item_009_bid_001 preserves printed item total 4393090.72 and reported bid total 4582972.72; difference=-189882.
sd_sddot_20230201_item_009,bid_total_difference,sd_sddot_20230201_item_009_bid_002 preserves printed item total 4648681.91 and reported bid total 4848345.71; difference=-199663.8.
sd_sddot_20230201_item_009,bid_total_difference,sd_sddot_20230201_item_009_bid_003 preserves printed item total 4690444.43 and reported bid total 4934989.43; difference=-244545.
sd_sddot_20230215_item_002,award_amount_difference,"Final award 18238025.8 resolves uniquely by vendor to abstract bid 20100025.8 for CENTRAL SPECIALTIES, INC."
sd_sddot_20230215_item_002,bid_total_difference,sd_sddot_20230215_item_002_bid_001 preserves printed item total 18238025.8 and reported bid total 20100025.8; difference=-1862000.
sd_sddot_20230215_item_002,bid_total_difference,sd_sddot_20230215_item_002_bid_002 preserves printed item total 17962903.75 and reported bid total 20342903.75; difference=-2380000.
sd_sddot_20230215_item_002,bid_total_difference,sd_sddot_20230215_item_002_bid_003 preserves printed item total 18520010.5 and reported bid total 20961610.5; difference=-2441600.
sd_sddot_20230301_item_006,abstract_parse,page 34 line 8: malformed quantity ''
sd_sddot_20230301_item_006,abstract_parse,page 34 line 9: malformed quantity ''
sd_sddot_20230301_item_006,bid_total_difference,sd_sddot_20230301_item_006_bid_001 preserves printed item total 560487.84 and reported bid total 599988.84; difference=-39501.
sd_sddot_20230301_item_006,bid_total_difference,sd_sddot_20230301_item_006_bid_002 preserves printed item total 793647.6 and reported bid total 839794.8; difference=-46147.2.
sd_sddot_20230405_item_004,abstract_parse,page 13 line 2: malformed quantity ''
sd_sddot_20230405_item_004,abstract_parse,page 13 line 3: malformed quantity ''
sd_sddot_20230405_item_004,abstract_parse,page 14 line 2: malformed quantity ''
sd_sddot_20230405_item_004,abstract_parse,page 14 line 3: malformed quantity ''
sd_sddot_20230405_item_004,bid_total_difference,sd_sddot_20230405_item_004_bid_001 preserves printed item total 73353.72 and reported bid total 188632.32; difference=-115278.6.
sd_sddot_20230405_item_004,bid_total_difference,sd_sddot_20230405_item_004_bid_002 preserves printed item total 107296.32 and reported bid total 207976.32; difference=-100680.
sd_sddot_20230405_item_004,bid_total_difference,sd_sddot_20230405_item_004_bid_003 preserves printed item total 124699.1 and reported bid total 223701.1; difference=-99002.
sd_sddot_20230405_item_005,abstract_parse,page 15 line 23: malformed quantity ''
sd_sddot_20230405_item_005,abstract_parse,page 15 line 25: malformed quantity ''
sd_sddot_20230405_item_005,bid_total_difference,sd_sddot_20230405_item_005_bid_001 preserves printed item total 7966102.98 and reported bid total 7977577.98; difference=-11475.
sd_sddot_20230405_item_005,bid_total_difference,sd_sddot_20230405_item_005_bid_002 preserves printed item total 8554930.25 and reported bid total 8565946.25; difference=-11016.
sd_sddot_20230419_item_003,abstract_parse,page 9 line 9: malformed quantity ''
sd_sddot_20230419_item_003,abstract_parse,page 9 line 10: malformed quantity ''
sd_sddot_20230419_item_003,abstract_parse,page 11 line 9: malformed quantity ''
sd_sddot_20230419_item_003,abstract_parse,page 11 line 10: malformed quantity ''
sd_sddot_20230419_item_003,bid_total_difference,sd_sddot_20230419_item_003_bid_001 preserves printed item total 2609328.01 and reported bid total 2639136.01; difference=-29808.
sd_sddot_20230419_item_003,bid_total_difference,sd_sddot_20230419_item_003_bid_002 preserves printed item total 2618243.43 and reported bid total 2641841.43; difference=-23598.
sd_sddot_20230419_item_003,bid_total_difference,sd_sddot_20230419_item_003_bid_003 preserves printed item total 2975227 and reported bid total 2997997; difference=-22770.
sd_sddot_20230503_item_001,abstract_parse,page 9 line 176: malformed quantity ''
sd_sddot_20230503_item_001,abstract_parse,page 9 line 177: malformed quantity ''
sd_sddot_20230503_item_001,abstract_parse,page 23 line 176: malformed quantity ''
sd_sddot_20230503_item_001,abstract_parse,page 23 line 177: malformed quantity ''
sd_sddot_20230503_item_001,bid_total_difference,sd_sddot_20230503_item_001_bid_001 preserves printed item total 47908630.62 and reported bid total 47933520.32; difference=-24889.7.
sd_sddot_20230503_item_001,bid_total_difference,sd_sddot_20230503_item_001_bid_002 preserves printed item total 49249109.87 and reported bid total 49275575.75; difference=-26465.88.
