item_code_raw,item_code,official_description,official_unit,is_deleted
110E7030,110E7030,Remove Road Closure Gate for Reset,Each,false
110E7040,110E7040,Remove Gate for Reset,Each,false
110E7055,110E7055,Remove Gravity Segmental Block Wall for Reset,SqFt,false
110E7060,110E7060,Remove MSE Segmental Modular Wall for Reset,SqFt,false
110E7065,110E7065,Remove Channel Rock Wall,Ft,false
110E7100,110E7100,Remove Sign Bridge for Reset,Each,false
110E7110,110E7110,Remove Pole Mounted Dynamic Message Sign for Reset,Each,false
110E7150,110E7150,Remove Sign for Reset,Each,false
110E7152,110E7152,Remove Delineator for Reset,Each,false
110E7154,110E7154,Remove Deer Reflector for Reset,Each,false
110E7200,110E7200,Remove Luminaire Pole for Reset,Each,false
110E7210,110E7210,Remove Light Tower for Reset,Each,false
110E7220,110E7220,Remove Signal Pole for Reset,Each,false
110E7230,110E7230,Remove Pedestrian Push Button for Reset,Each,false
110E7240,110E7240,Remove Pedestrian Crossing Sign for Reset,Each,false
110E7500,110E7500,Remove Pipe for Reset,Ft,false
110E7510,110E7510,Remove Pipe End Section for Reset,Each,false
110E7515,110E7515,Remove Pipe Bend for Reset,Each,false
110E7520,110E7520,Remove Smooth Tapered Sleeve for Reset,Each,false
110E7530,110E7530,Remove Cattle Pass for Reset,Ft,false
110E7540,110E7540,Remove Cattle Pass End Section for Reset,Each,false
110E7550,110E7550,Remove Precast Concrete Box Culvert for Reset,Ft,false
110E7560,110E7560,Remove Precast Concrete Box Culvert End Section for Reset,Each,false
110E7570,110E7570,Remove Prestressed Concrete Double Tee for Reset,Each,false
110E7600,110E7600,Remove Cattle Guard for Reset,Each,false
110E7690,110E7690,Remove Drop Inlet for Reset,Each,false
110E7700,110E7700,Remove Drop Inlet Frame and Grate Assembly for Reset,Each,false
110E7710,110E7710,Remove Manhole Frame and Lid for Reset,Each,false
110E7800,110E7800,Remove Chain Link Fence for Reset,Ft,false
110E7802,110E7802,Remove Fence for Reset,Ft,false
110E7880,110E7880,Remove Yard Hydrant for Reset,Each,false
110E7900,110E7900,Remove Tree Grate for Reset,Each,false
120E0010,120E0010,Unclassified Excavation,CuYd,false
120E0020,120E0020,Unclassified Excavation,LS,false
120E0100,120E0100,"Unclassified Excavation, Digouts",CuYd,false
120E0200,120E0200,"Unclassified Excavation, Structure",CuYd,false
120E0300,120E0300,Borrow Unclassified Excavation,CuYd,false
