contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
cdot_2025q4_nhpp2706_048_project_1,cdot_2025q4_nhpp2706_048,NHPP2706-048,I-270 MP 0 - MP 5,Roadway,Colorado / CDOT District 6,,NHPP2706-048 I-270 MP 0 - MP 5,4834255.00
cdot_2025q4_nhpp2706_054_project_1,cdot_2025q4_nhpp2706_054,NHPP2706-054,I-270/SAND CREEK DRIVE REPAIR,Roadway,Colorado / CDOT District 6,,NHPP2706-054 I-270/SAND CREEK DRIVE REPAIR,247000.00
cdot_2025q4_nhpp2851_009_project_1,cdot_2025q4_nhpp2851_009,NHPP2851-009,US 285 CONEJOS RIVER BRIDGES,Roadway,Colorado / CDOT District 5,,NHPP2851-009 US 285 CONEJOS RIVER BRIDGES,2866394.00
cdot_2025q4_nhpp2873_206_project_1,cdot_2025q4_nhpp2873_206,NHPP2873-206,US287:RESURFACING I-70 TO 92ND,Roadway,Colorado / CDOT District 6,,NHPP2873-206 US287:RESURFACING I-70 TO 92ND,12912912.00
cdot_2025q4_nhppr100_420_project_1,cdot_2025q4_nhppr100_420,NHPPR100-420,VARIOUS LOCATIONS IN REGION 1,Roadway,Colorado / CDOT District 1,,NHPPR100-420 VARIOUS LOCATIONS IN REGION 1,2422341.00
cdot_2025q4_nhppr500_227_project_1,cdot_2025q4_nhppr500_227,NHPPR500-227,REGION 5 SECTION 7,Roadway,Colorado / CDOT District 5,,NHPPR500-227 REGION 5 SECTION 7,2065188.00
cdot_2025q4_she0881_032_project_1,cdot_2025q4_she0881_032,SHE0881-032,FEDERAL BLVD SIGNALS 41st and,Roadway,Colorado / CDOT District 1,,SHE0881-032 FEDERAL BLVD SIGNALS 41st and,934434.00
cdot_2025q4_she1211_107_project_1,cdot_2025q4_she1211_107,SHE1211-107,WADSWORTH BLVD & EVANS AVE,Roadway,Colorado / CDOT District 1,,SHE1211-107 WADSWORTH BLVD & EVANS AVE,655850.00
cdot_2025q4_sher100_414_project_1,cdot_2025q4_sher100_414,SHER100-414,"SH 74/KERRGULCH;SH83/GILLIAN,R",Roadway,Colorado / CDOT District 1,,"SHER100-414 SH 74/KERRGULCH;SH83/GILLIAN,R",1459900.10
cdot_2025q4_sher200_309_project_1,cdot_2025q4_sher200_309,SHER200-309,REGION 2 WIDE VARIOUS LOCATION,Roadway,Colorado / CDOT District 2,,SHER200-309 REGION 2 WIDE VARIOUS LOCATION,382111.03
cdot_2025q4_spfs2706_055_project_1,cdot_2025q4_spfs2706_055,SPFS2706-055,I-270 MP 0-3,Roadway,Colorado / CDOT District 6,,SPFS2706-055 I-270 MP 0-3,1373255.58
cdot_2025q4_sta119a_078_project_1,cdot_2025q4_sta119a_078,STA119A-078,CO 119 (MM 44.237-55.5),Roadway,Colorado / CDOT District 4,,STA119A-078 CO 119 (MM 44.237-55.5),19859813.00
cdot_2025q4_sta157a_013_project_1,cdot_2025q4_sta157a_013,STA157A-013,CO 157 (MM 2.8-4.5),Roadway,Colorado / CDOT District 4,,STA157A-013 CO 157 (MM 2.8-4.5),4299635.45
cdot_2025q4_stam765_015_project_1,cdot_2025q4_stam765_015,STAM765-015,"US50/MAPLE & US287/CEDAR, LAMA",Roadway,Colorado / CDOT District 2,,"STAM765-015 US50/MAPLE & US287/CEDAR, LAMA",1482502.69
cdot_2025q4_star500_223_project_1,cdot_2025q4_star500_223,STAR500-223,"SH50 MM 189.71, US550 MM 98.33",Roadway,Colorado / CDOT District 5,,"STAR500-223 SH50 MM 189.71, US550 MM 98.33",963303.00
cdot_2025q4_star500_226_project_1,cdot_2025q4_star500_226,STAR500-226,"R5 HWYS 550, 491, 285, 184, 17",Roadway,Colorado / CDOT District 5,,"STAR500-226 R5 HWYS 550, 491, 285, 184, 17",8859322.69
cdot_2025q4_star500_228_project_1,cdot_2025q4_star500_228,STAR500-228,REGION 5,Roadway,Colorado / CDOT District 5,,STAR500-228 REGION 5,1581538.00
cdot_2025q4_stm0132_025_project_1,cdot_2025q4_stm0132_025,STM0132-025,"CO13 MM 90.2, US40Z MM 0.65, M",Roadway,Colorado / CDOT District 3,,"STM0132-025 CO13 MM 90.2, US40Z MM 0.65, M",1280705.00
cdot_2025q4_stm0503_096_project_1,cdot_2025q4_stm0503_096,STM0503-096,PUEBLO COUNTY LINE TO PURCELL,Roadway,Colorado / CDOT District 2,,STM0503-096 PUEBLO COUNTY LINE TO PURCELL,12305350.98
cdot_2025q4_stm052a_062_project_1,cdot_2025q4_stm052a_062,STM052A-062,CO52A RESURFACING I25 TO US85,Roadway,Colorado / CDOT District 4,,STM052A-062 CO52A RESURFACING I25 TO US85,8874349.77
cdot_2025q4_stm141a_057_project_1,cdot_2025q4_stm141a_057,STM141A-057,SH141 GATEWAY MP 120 SOUTH,Roadway,Colorado / CDOT District 3,,STM141A-057 SH141 GATEWAY MP 120 SOUTH,7979767.68
cdot_2025q4_stm2873_232_project_1,cdot_2025q4_stm2873_232,STM2873-232,SH287 & LCR 72 AND US287 & OWL,Roadway,Colorado / CDOT District 4,,STM2873-232 SH287 & LCR 72 AND US287 & OWL,617732.65
cdot_2025q4_stm318a_002_project_1,cdot_2025q4_stm318a_002,STM318A-002,SH 318 MP 1.25 IN MOFFAT COUNT,Roadway,Colorado / CDOT District 3,,STM318A-002 SH 318 MP 1.25 IN MOFFAT COUNT,2095785.00
cdot_2025q4_stm340a_022_project_1,cdot_2025q4_stm340a_022,STM340A-022,CO 340 GRAND AVE TO REDLANDS P,Roadway,Colorado / CDOT District 3,,STM340A-022 CO 340 GRAND AVE TO REDLANDS P,5609674.21
cdot_2025q4_stmm153_003_project_1,cdot_2025q4_stmm153_003,STMM153-003,CO 17 & SOUTH OF CO 14,Roadway,Colorado / CDOT District 4,,STMM153-003 CO 17 & SOUTH OF CO 14,3502761.33
cdot_2025q4_str012a_054_project_1,cdot_2025q4_str012a_054,STR012A-054,SH12 MP 46.7 to MP 48.1,Roadway,Colorado / CDOT District 2,,STR012A-054 SH12 MP 46.7 to MP 48.1,3489752.57
