agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
co_cdot_202-05006,CO,co_cdot,CDOT,202-05006,co_cdot_202-05006_v2026,current,
co_cdot_202-05008,CO,co_cdot,CDOT,202-05008,co_cdot_202-05008_v2026,current,
co_cdot_202-05010,CO,co_cdot,CDOT,202-05010,co_cdot_202-05010_v2026,current,
co_cdot_202-05011,CO,co_cdot,CDOT,202-05011,co_cdot_202-05011_v2026,current,
co_cdot_202-05019,CO,co_cdot,CDOT,202-05019,co_cdot_202-05019_v2026,current,
co_cdot_202-05026,CO,co_cdot,CDOT,202-05026,co_cdot_202-05026_v2026,current,
co_cdot_202-05030,CO,co_cdot,CDOT,202-05030,co_cdot_202-05030_v2026,current,
co_cdot_202-05100,CO,co_cdot,CDOT,202-05100,co_cdot_202-05100_v2026,current,
co_cdot_202-05150,CO,co_cdot,CDOT,202-05150,co_cdot_202-05150_v2026,current,
co_cdot_202-05300,CO,co_cdot,CDOT,202-05300,co_cdot_202-05300_v2026,current,
co_cdot_202-05301,CO,co_cdot,CDOT,202-05301,co_cdot_202-05301_v2026,current,
co_cdot_202-06000,CO,co_cdot,CDOT,202-06000,co_cdot_202-06000_v2026,current,
co_cdot_202-06500,CO,co_cdot,CDOT,202-06500,co_cdot_202-06500_v2026,current,
co_cdot_202-06510,CO,co_cdot,CDOT,202-06510,co_cdot_202-06510_v2026,current,
co_cdot_202-06520,CO,co_cdot,CDOT,202-06520,co_cdot_202-06520_v2026,current,
co_cdot_202-06530,CO,co_cdot,CDOT,202-06530,co_cdot_202-06530_v2026,current,
co_cdot_202-07000,CO,co_cdot,CDOT,202-07000,co_cdot_202-07000_v2026,current,
co_cdot_202-07100,CO,co_cdot,CDOT,202-07100,co_cdot_202-07100_v2026,current,
co_cdot_202-07200,CO,co_cdot,CDOT,202-07200,co_cdot_202-07200_v2026,current,
co_cdot_203-00000,CO,co_cdot,CDOT,203-00000,co_cdot_203-00000_v2026,current,
co_cdot_203-00010,CO,co_cdot,CDOT,203-00010,co_cdot_203-00010_v2026,current,
co_cdot_203-00012,CO,co_cdot,CDOT,203-00012,co_cdot_203-00012_v2026,current,
co_cdot_203-00014,CO,co_cdot,CDOT,203-00014,co_cdot_203-00014_v2026,current,
co_cdot_203-00015,CO,co_cdot,CDOT,203-00015,co_cdot_203-00015_v2026,current,
co_cdot_203-00040,CO,co_cdot,CDOT,203-00040,co_cdot_203-00040_v2026,current,
co_cdot_203-00041,CO,co_cdot,CDOT,203-00041,co_cdot_203-00041_v2026,current,
co_cdot_203-00050,CO,co_cdot,CDOT,203-00050,co_cdot_203-00050_v2026,current,
co_cdot_203-00060,CO,co_cdot,CDOT,203-00060,co_cdot_203-00060_v2026,current,
co_cdot_203-00061,CO,co_cdot,CDOT,203-00061,co_cdot_203-00061_v2026,current,
co_cdot_203-00062,CO,co_cdot,CDOT,203-00062,co_cdot_203-00062_v2026,current,
co_cdot_203-00065,CO,co_cdot,CDOT,203-00065,co_cdot_203-00065_v2026,current,
co_cdot_203-00066,CO,co_cdot,CDOT,203-00066,co_cdot_203-00066_v2026,current,
co_cdot_203-00100,CO,co_cdot,CDOT,203-00100,co_cdot_203-00100_v2026,current,
co_cdot_203-00200,CO,co_cdot,CDOT,203-00200,co_cdot_203-00200_v2026,current,
co_cdot_203-00210,CO,co_cdot,CDOT,203-00210,co_cdot_203-00210_v2026,current,
co_cdot_203-00400,CO,co_cdot,CDOT,203-00400,co_cdot_203-00400_v2026,current,
co_cdot_203-00440,CO,co_cdot,CDOT,203-00440,co_cdot_203-00440_v2026,current,
co_cdot_203-00450,CO,co_cdot,CDOT,203-00450,co_cdot_203-00450_v2026,current,
