contract_item_id,contract_id,source_id,section_number,section_title,line_number,source_item_code,agency_item_id,description_raw,quantity,unit_raw,unit_normalized,alternate_set,alternate_member,mapping_status,source_page,source_locator
fhu_watson_20211216_row_0069,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,69,212-00704,co_cdot_212-00704,MYCORRHIZAE,10.00,POUNDS,LB,,,matched,,SAQ:69
fhu_watson_20211216_row_0070,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,70,212-00706,co_cdot_212-00706,SEEDING (NATIVE) DRILL,1.20,ACRE,ACRE,,,matched,,SAQ:70
fhu_watson_20211216_row_0071,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,71,213-00003,co_cdot_213-00003,MULCHING (WEED FREE),0.50,ACRE,ACRE,,,matched,,SAQ:71
fhu_watson_20211216_row_0072,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,72,213-00005,co_cdot_213-00005,MULCH (WOOD),4310.00,CF,CF,,,matched,,SAQ:72
fhu_watson_20211216_row_0073,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,73,213-00061,co_cdot_213-00061,MULCHING (TACKIFIER),100.00,LB,LB,,,matched,,SAQ:73
fhu_watson_20211216_row_0074,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,74,213-00462,co_cdot_213-00462,METAL LANDSCAPE BORDER (3/16 X 5-1/2 INCH),178.00,LF,LF,,,matched,,SAQ:74
fhu_watson_20211216_row_0075,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,75,213-00705,co_cdot_213-00705,LANDSCAPE BOULDERS (SPECIAL),18.00,EACH,EACH,,,matched,,SAQ:75
fhu_watson_20211216_row_0076,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,76,214-00220,co_cdot_214-00220,DECIDUOUS TREE (2 INCH CALIPER),8.00,EACH,EACH,,,matched,,SAQ:76
fhu_watson_20211216_row_0077,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,77,214-00225,co_cdot_214-00225,DECIDUOUS TREE (2.5 INCH CALIPER),15.00,EACH,EACH,,,matched,,SAQ:77
fhu_watson_20211216_row_0078,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,78,214-00350,co_cdot_214-00350,DECIDUOUS SHRUB (5 GALLON CONTAINER),168.00,EACH,EACH,,,matched,,SAQ:78
fhu_watson_20211216_row_0079,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,79,214-00508,co_cdot_214-00508,EVERGREEN TREE (8 FOOT) (BALL AND BURLAP),10.00,EACH,EACH,,,matched,,SAQ:79
fhu_watson_20211216_row_0080,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,80,214-00512,co_cdot_214-00512,EVERGREEN TREE (12 FOOT) (BALL AND BURLAP),5.00,EACH,EACH,,,matched,,SAQ:80
fhu_watson_20211216_row_0081,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,81,214-00650,co_cdot_214-00650,EVERGREEN SHRUB (5 GALLON CONTAINER),152.00,EACH,EACH,,,matched,,SAQ:81
fhu_watson_20211216_row_0082,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,82,214-00908,co_cdot_214-00908,PERENNIALS (1 GALLON CONTAINER),469.00,EACH,EACH,,,matched,,SAQ:82
fhu_watson_20211216_row_0083,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,83,216-00201,co_cdot_216-00201,SOIL RETENTION BLANKET (STRAW/COCONUT) IBIODEGRADABLE),2400.00,SY,SY,,,matched,,SAQ:83
fhu_watson_20211216_row_0084,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,84,217-00020,co_cdot_217-00020,HERBICIDE TREATMENT,16.00,HOUR,HOUR,,,matched,,SAQ:84
fhu_watson_20211216_row_0085,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,85,240-00000,co_cdot_240-00000,WILDLIFE BIOLOGIST,24.00,HOUR,HOUR,,,matched,,SAQ:85
fhu_watson_20211216_row_0086,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,86,304-01005,co_cdot_304-01005,AGGREGATE BASE COURSE (CLASS 1),1393.00,CY,CY,,,matched,,SAQ:86
fhu_watson_20211216_row_0087,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,87,304-06007,co_cdot_304-06007,AGGREGATE BASE COURSE (CLASS 6),1321.00,CY,CY,,,matched,,SAQ:87
fhu_watson_20211216_row_0088,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,88,403-00721,co_cdot_403-00721,HOT MIX ASPHALT (ASPHALT)(PATCHING ASPHALT),600.00,SY,SY,,,matched,,SAQ:88
fhu_watson_20211216_row_0089,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,89,403-34721,co_cdot_403-34721,HOT MIX ASPHALT (GRADING SX) (75) (PG 58-34),3717.00,TON,TON,,,matched,,SAQ:89
fhu_watson_20211216_row_0090,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,90,411-10253,co_cdot_411-10253,EMULSIFIED ASPHALT (CSS-1H),1414.00,GAL,GAL,,,matched,,SAQ:90
fhu_watson_20211216_row_0091,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,91,412-00801,co_cdot_412-00801,CONCRETE PAVEMENT (8 INCH) (SPECIAL),287.00,SY,SY,,,matched,,SAQ:91
fhu_watson_20211216_row_0092,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,92,504-03411,co_cdot_504-03411,STONE LANDSCAPE WALLS DRYSTACK -SITE (SPECIAL),319.50,SF,SF,,,matched,,SAQ:92
fhu_watson_20211216_row_0093,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,93,504-03411,co_cdot_504-03411,STONE LANDSCAPE WALLS DRYSTACK-RETAINING (SPECIAL),240.00,SF,SF,,,matched,,SAQ:93
fhu_watson_20211216_row_0094,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,94,507-00000,co_cdot_507-00000,SLOPE AND DITCH PAVING (SPECIAL),3710.00,SF,SF,,,matched,,SAQ:94
fhu_watson_20211216_row_0095,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,95,508-00520,co_cdot_508-00520,INSULATION MATERIAL (2 INCH),720.00,SF,SF,,,matched,,SAQ:95
fhu_watson_20211216_row_0096,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,96,603-01185,co_cdot_603-01185,18 INCH REINFORCED CONCRETE PIPE (CIP),183.00,LF,LF,,,matched,,SAQ:96
