contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
cdot_2025q4_er060a_028,co_cdot_cost_data_book_2025_q4_20250618,cdot_cost_data_book_2025_q4,CO,co_cdot,ER060A-028,,AWARDED,"CONNELL RESOURCES, INC.",488198.00,Colorado / CDOT District 4,,Roadway,,,2,ER060A-028 CO 60 (MP 9-10),4,U,110.27
cdot_2025q4_fbr0063_066,co_cdot_cost_data_book_2025_q4_20250815,cdot_cost_data_book_2025_q4,CO,co_cdot,FBR0063-066,,AWARDED,"RALPH L. WADSWORTH CONSTRUCTION CO., LLC",10092629.21,Colorado / CDOT District 3,,Roadway,,,1,FBR0063-066 US 6D IN GARFIELD COUNTY,3,M,102.62
cdot_2025q4_fbr0703_534,co_cdot_cost_data_book_2025_q4_20250411,cdot_cost_data_book_2025_q4,CO,co_cdot,FBR0703-534,,AWARDED,"KRAEMER NORTH AMERICA, LLC",434861012.42,Colorado / CDOT District 1,,Roadway,,,1,FBR0703-534 I-70,1,M,101.08
cdot_2025q4_fbr0704_269,co_cdot_cost_data_book_2025_q4_20250724,cdot_cost_data_book_2025_q4,CO,co_cdot,FBR0704-269,,AWARDED,"STRUCTURES, INC.",7235022.57,Colorado / CDOT District 1,,Roadway,,,4,FBR0704-269 I-70 EAST,1,R,99.21
cdot_2025q4_fbr086a_061,co_cdot_cost_data_book_2025_q4_20251218,cdot_cost_data_book_2025_q4,CO,co_cdot,FBR086A-061,,AWARDED,"HUDICK EXCAVATING, INC.",5097021.85,Colorado / CDOT District 4,,Roadway,,,10,FBR086A-061 CO 86 (MP 22.75-22.89),4,P,91.20
cdot_2025q4_fbr2851_014,co_cdot_cost_data_book_2025_q4_20250918,cdot_cost_data_book_2025_q4,CO,co_cdot,FBR2851-014,,AWARDED,W.W. CLYDE & CO.,2866394.00,Colorado / CDOT District 5,,Roadway,,,5,FBR2851-014 US 50 CONEJOS RIVER BRIDGE STR,5,R,78.47
cdot_2025q4_fsa052a_053,co_cdot_cost_data_book_2025_q4_20250911,cdot_cost_data_book_2025_q4,CO,co_cdot,FSA052A-053,,AWARDED,"STURGEON ELECTRIC COMPANY, INC",597027.50,Colorado / CDOT District 4,,Roadway,,,5,FSA052A-053 SH 52 AND WCR 41 SIGNALIZATION,4,P,76.05
cdot_2025q4_itssw03_250,co_cdot_cost_data_book_2025_q4_20250626,cdot_cost_data_book_2025_q4,CO,co_cdot,ITSSW03-250,,AWARDED,"DILLIE AND KUHN, INC.",5379255.25,Colorado / CDOT District 0,,Roadway,,,4,ITSSW03-250 FRONT RANGE,0,P,118.96
cdot_2025q4_itssw03_417,co_cdot_cost_data_book_2025_q4_20251204,cdot_cost_data_book_2025_q4,CO,co_cdot,ITSSW03-417,,AWARDED,"LIGHTHOUSE TRANSPORTATION GROUP, LLC",5688636.50,Colorado / CDOT District 0,,Roadway,,,4,ITSSW03-417 STATEWIDE,0,M,104.13
cdot_2025q4_mtce0361_135,co_cdot_cost_data_book_2025_q4_20250605,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCE0361-135,,AWARDED,"WORK ZONE TRAFFIC CONTROL, LLC",928777.95,Colorado / CDOT District 4,,Roadway,,,4,MTCE0361-135 US-36B FROM MP 0.00-33.76 IN B,4,R,106.00
cdot_2025q4_mtce0402_112,co_cdot_cost_data_book_2025_q4_20250703,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCE0402-112,,AWARDED,"ROADSAFE TRAFFIC SYSTEMS, INC",448562.85,Colorado / CDOT District 3,,Roadway,,,2,MTCE0402-112 REGION 3 STENCIL PROJECT ON HI,3,M,89.86
cdot_2025q4_mtce0702_434,co_cdot_cost_data_book_2025_q4_20250703,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCE0702-434,,AWARDED,Barricade Holdings LLC,656656.00,Colorado / CDOT District 3,,Roadway,,,3,"MTCE0702-434 I-70 MP 130 TO 168, REGION 3",3,M,131.43
cdot_2025q4_mtce0703_541,co_cdot_cost_data_book_2025_q4_20250724,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCE0703-541,,AWARDED,"BRANNAN SAND AND GRAVEL, LLC",2769129.65,Colorado / CDOT District 1,,Roadway,,,1,MTCE0703-541 I-70 EISENHOWER-JOHNSON MEMORI,1,M,173.07
cdot_2025q4_mtcer100_428,co_cdot_cost_data_book_2025_q4_20251023,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER100-428,,AWARDED,CC ENTRPRS TRAFFIC CONTROL SPECIALISTS,195959.50,Colorado / CDOT District 1,,Roadway,,,3,"MTCER100-428 I-25 (DENVER TO MONUMENT), I-7",1,U,54.43
cdot_2025q4_mtcer200_296,co_cdot_cost_data_book_2025_q4_20250313,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER200-296,,AWARDED,"ROADSAFE TRAFFIC SYSTEMS, INC",993522.30,Colorado / CDOT District 2,,Roadway,,,2,MTCER200-296 REGION 2 VARIOUS HIGHWAYS AND,2,R,90.32
cdot_2025q4_mtcer200_297,co_cdot_cost_data_book_2025_q4_20251113,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER200-297,,AWARDED,"C & D ELECTRIC, INC.",235510.00,Colorado / CDOT District 2,,Roadway,,,3,MTCER200-297 REGION 2 EL PASO COUNTY COLORA,2,U,94.20
cdot_2025q4_mtcer200_299,co_cdot_cost_data_book_2025_q4_20250626,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER200-299,,AWARDED,"ROADSAFE TRAFFIC SYSTEMS, INC",3546943.50,Colorado / CDOT District 2,,Roadway,,,1,MTCER200-299 R2 VARIOUS HIGHWAYS AND COUTNI,2,R,110.84
cdot_2025q4_mtcer200_301,co_cdot_cost_data_book_2025_q4_20250821,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER200-301,,AWARDED,"WORK ZONE TRAFFIC CONTROL, LLC",1781582.00,Colorado / CDOT District 2,,Roadway,,,2,MTCER200-301 R2 VARIOUS HIGHWAYS AND COUNTI,2,R,98.98
cdot_2025q4_mtcer300_288,co_cdot_cost_data_book_2025_q4_20250508,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER300-288,,AWARDED,"STREAMLINE MARKINGS, LLC",1994789.44,Colorado / CDOT District 3,,Roadway,,,2,MTCER300-288 I-70 MM 0-205 REGION WIDE,3,M,93.02
cdot_2025q4_mtcer400_411,co_cdot_cost_data_book_2025_q4_20250821,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER400-411,,AWARDED,"ABCO CONTRACTING, INC.",612588.00,Colorado / CDOT District 4,,Roadway,,,4,MTCER400-411 SH157 MP3.518 D-16-DG AND I70,4,U,79.12
