agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_202-04041,CO,CDOT,202-04041,Clean Box Girder (Forms and Debris),Clean Box Girder (F & D),SF,
co_cdot_202-04050,CO,CDOT,202-04050,Clean Expansion Joint,Clean Exp Joint,LF,
co_cdot_202-04060,CO,CDOT,202-04060,Dust Abatement,Dust Abatement,L S,
co_cdot_202-04100,CO,CDOT,202-04100,Abandon Well,Abandon Well,EACH,
co_cdot_202-04200,CO,CDOT,202-04200,Plug Storage Tank,Plug Storage Tank,EACH,
co_cdot_202-05000,CO,CDOT,202-05000,Transverse Grooving,Transverse Grooving,SY,
co_cdot_202-05002,CO,CDOT,202-05002,Sawing Concrete (2 Inch),Sawing Concrete (2 In),LF,
co_cdot_202-05004,CO,CDOT,202-05004,Sawing Concrete (4 Inch),Sawing Concrete (4 In),LF,
co_cdot_202-05006,CO,CDOT,202-05006,Sawing Concrete (6 Inch),Sawing Concrete (6 In),LF,
co_cdot_202-05008,CO,CDOT,202-05008,Sawing Concrete (8 Inch),Sawing Concrete (8 In),LF,
co_cdot_202-05010,CO,CDOT,202-05010,Sawing Concrete (10 Inch),Sawing Concrete (10 In),LF,
co_cdot_202-05011,CO,CDOT,202-05011,Sawing Concrete (10.5 Inch),Sawing Concrete (10.5 In),LF,
co_cdot_202-05019,CO,CDOT,202-05019,Sawing Concrete (Special),Sawing Concrete (Spec),LF,
co_cdot_202-05026,CO,CDOT,202-05026,Sawing Asphalt Material (6 Inch),Sawing Asphalt Mat (6 In),LF,
co_cdot_202-05030,CO,CDOT,202-05030,Sawing Asphalt Material (10 Inch),Sawing Asphalt Mat (10 In),LF,
co_cdot_202-05100,CO,CDOT,202-05100,Sandblasting Reinforcing Steel,Sandblasting Reinf Steel,SY,
co_cdot_202-05150,CO,CDOT,202-05150,Sandblasting,Sandblasting,SF,
co_cdot_202-05300,CO,CDOT,202-05300,Removal and Disposal of Paint,Rem and Disposal of Paint,L S,
co_cdot_202-05301,CO,CDOT,202-05301,Removal and Disposal of Paint,Rem and Disposal of Paint,SF,
co_cdot_202-06000,CO,CDOT,202-06000,Removal of Detour,Rem Detour,L S,
co_cdot_202-06500,CO,CDOT,202-06500,Removal of Restraining Bar,Rem of Restraining Bar,L S,
co_cdot_202-06510,CO,CDOT,202-06510,Removal of Inspection Car Rail,Rem of Inspection Car Rail,L S,
co_cdot_202-06520,CO,CDOT,202-06520,Removal of Existing Wall Panels,Rem of Existing Wall Panels,L S,
co_cdot_202-06530,CO,CDOT,202-06530,Clean Drain Pipe (Special),Clean Drain Pipe (Spec),EACH,
co_cdot_202-07000,CO,CDOT,202-07000,Obliterate Old Road,Oblit Old Road,L S,
co_cdot_202-07100,CO,CDOT,202-07100,Removal of Access Road (Special),Rem of Access Rd (Spec),L S,
co_cdot_202-07200,CO,CDOT,202-07200,Removal of Temporary Stream Crossing,Rem of Temporary Stream Crossing,EACH,
co_cdot_203-00000,CO,CDOT,203-00000,Unclassified Excavation,Uncl Excav,CY,
co_cdot_203-00010,CO,CDOT,203-00010,Unclassified Excavation (Complete In Place),Uncl Excav (CIP),CY,
co_cdot_203-00012,CO,CDOT,203-00012,Unclassified Excavation (Complete In Place) (Special),Uncl Excav (CIP) (Spec),CY,
co_cdot_203-00014,CO,CDOT,203-00014,Unclassified Excavation (River Bottom Material Salvage and Replacement),Uncl Ex (River Bttm Matl Salv and Repl),CY,
co_cdot_203-00015,CO,CDOT,203-00015,Unclassified Excavation (Channel Grading),Uncl Ex (Channel Grading),CY,
co_cdot_203-00040,CO,CDOT,203-00040,Unclassified Excavation (Special),Uncl Excav (Spec),CY,
co_cdot_203-00041,CO,CDOT,203-00041,Unclassified Excavation (Special),Uncl Excav (Spec),TON,
co_cdot_203-00050,CO,CDOT,203-00050,Unsuitable Material,Unsuitable Material,CY,
co_cdot_203-00060,CO,CDOT,203-00060,Embankment Material (Complete In Place),Emb Matl (CIP),CY,
co_cdot_203-00061,CO,CDOT,203-00061,Embankment Material (Complete In Place),Emb Matl (CIP),TON,
co_cdot_203-00062,CO,CDOT,203-00062,Embankment Material (Complete In Place) (Special),Emb Matl (CIP) (Spec),CY,
co_cdot_203-00065,CO,CDOT,203-00065,Embankment Material (Complete In Place) (R20),Emb Matl (CIP) (R20),CY,
co_cdot_203-00066,CO,CDOT,203-00066,Embankment Material (Complete In Place) (R40),Emb Matl (CIP) (R40),CY,
co_cdot_203-00100,CO,CDOT,203-00100,Muck Excavation,Muck Excav,CY,
co_cdot_203-00200,CO,CDOT,203-00200,Borrow,Borrow,CY,
co_cdot_203-00210,CO,CDOT,203-00210,Borrow (Complete In Place),Borrow (CIP),CY,
co_cdot_203-00400,CO,CDOT,203-00400,Rock Excavation,Rock Excav,CY,
co_cdot_203-00440,CO,CDOT,203-00440,Rock Excavation (Special),Rock Excav (Spec),CY,
co_cdot_203-00450,CO,CDOT,203-00450,Rock Removal,Rem Rock,EACH,
co_cdot_203-00500,CO,CDOT,203-00500,Rock Fill,Rock Fill,CY,
co_cdot_203-00510,CO,CDOT,203-00510,Rock Fill (Special),Rock Fill (Spec),CY,
co_cdot_203-00590,CO,CDOT,203-00590,Rock Placement,Rock Placement,CY,
co_cdot_203-00592,CO,CDOT,203-00592,Rock Staining,Rock Staining,SF,
co_cdot_203-00598,CO,CDOT,203-00598,Rock Scaling,Rock Scaling,HOUR,
co_cdot_203-00599,CO,CDOT,203-00599,Rock Scaler,Rock Scaler,HOUR,
co_cdot_203-00600,CO,CDOT,203-00600,Stripping,Stripping,CY,
co_cdot_203-00700,CO,CDOT,203-00700,Reclaim Pit,Reclaim Pit,EACH,
co_cdot_203-00705,CO,CDOT,203-00705,Access Pit,Access Pit,EACH,
co_cdot_203-00710,CO,CDOT,203-00710,Clay Plating (Complete In Place),Clay Plating (CIP),CY,
co_cdot_203-00840,CO,CDOT,203-00840,Expanded Polystyrene Fill,Polystyrene Fill,CY,
co_cdot_203-00850,CO,CDOT,203-00850,Expanded Polystyrene Fill (Complete In Place),Polystyrene Fill (CIP),CY,
co_cdot_203-00900,CO,CDOT,203-00900,Contaminated Soil Excavation,Contaminated Soil Excav,CY,
co_cdot_203-01000,CO,CDOT,203-01000,Irregular Channel Toe,Irregular Channel Toe,LF,
co_cdot_203-01020,CO,CDOT,203-01020,Compaction (AASHTO T 99),Compaction (AASHTO T 99),CY,
