agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_624-20060,CO,CDOT,624-20060,60 Inch Drainage Pipe (Class 0),60 In Drainage Pipe (CL 0),LF,
co_cdot_624-20061,CO,CDOT,624-20061,60 Inch Drainage Pipe (Class 0) (Complete In Place),60 In Drainage Pipe (CL 0) (CIP),LF,
co_cdot_624-20072,CO,CDOT,624-20072,72 Inch Drainage Pipe (Class 0),72 In Drainage Pipe (CL 0),LF,
co_cdot_624-20300,CO,CDOT,624-20300,Detour Drainage Pipe (Class 0),Detour Drainage Pipe (CL 0),LF,
co_cdot_624-20301,CO,CDOT,624-20301,Detour Drainage Pipe (Class 0),Detour Drainage Pipe (CL 0),L S,
co_cdot_624-21013,CO,CDOT,624-21013,12 Inch Drainage Pipe (Class 1) (Complete In Place),12 In Drainage Pipe (CL 1) (CIP),LF,
co_cdot_624-21018,CO,CDOT,624-21018,18 Inch Drainage Pipe (Class 1),18 In Drainage Pipe (CL 1),LF,
co_cdot_624-21024,CO,CDOT,624-21024,24 Inch Drainage Pipe (Class 1),24 In Drainage Pipe (CL 1),LF,
co_cdot_624-21036,CO,CDOT,624-21036,36 Inch Drainage Pipe (Class 1),36 In Drainage Pipe (CL 1),LF,
co_cdot_624-21042,CO,CDOT,624-21042,42 Inch Drainage Pipe (Class 1),42 In Drainage Pipe (CL 1),LF,
co_cdot_624-21073,CO,CDOT,624-21073,72 Inch Drainage Pipe (Class 1) (Complete In Place),72 In Drainage Pipe (CL 1) (CIP),LF,
co_cdot_624-22012,CO,CDOT,624-22012,12 Inch Drainage Pipe (Class 2),12 In Drainage Pipe (CL 2),LF,
co_cdot_624-23013,CO,CDOT,624-23013,12 Inch Drainage Pipe (Class 3) (Complete In Place),12 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-23015,CO,CDOT,624-23015,15 Inch Drainage Pipe (Class 3),15 In Drainage Pipe (CL 3),LF,
co_cdot_624-23016,CO,CDOT,624-23016,15 Inch Drainage Pipe (Class 3) (Complete In Place),15 In Drainage Pipe (CL3) (CIP),LF,
co_cdot_624-23018,CO,CDOT,624-23018,18 Inch Drainage Pipe (Class 3),18 In Drainage Pipe (CL 3),LF,
co_cdot_624-23019,CO,CDOT,624-23019,18 Inch Drainage Pipe (Class 3) (Complete In Place),18 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-23024,CO,CDOT,624-23024,24 Inch Drainage Pipe (Class 3),24 In Drainage Pipe (CL 3),LF,
co_cdot_624-23025,CO,CDOT,624-23025,24 Inch Drainage Pipe (Class 3) (Complete In Place),24 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-23031,CO,CDOT,624-23031,30 Inch Drainage Pipe (Class 3) (Complete In Place),30 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-23036,CO,CDOT,624-23036,36 Inch Drainage Pipe (Class 3),36 In Drainage Pipe (CL 3),LF,
co_cdot_624-23037,CO,CDOT,624-23037,36 Inch Drainage Pipe (Class 3) (Complete In Place),36 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-23043,CO,CDOT,624-23043,42 Inch Drainage Pipe (Class 3) (Complete In Place),42 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-23049,CO,CDOT,624-23049,48 Inch Drainage Pipe (Class 3) (Complete In Place),48 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-23055,CO,CDOT,624-23055,54 Inch Drainage Pipe (Class 3) (Complete In Place),54 In Drainage Pipe (CL 3) (CIP),LF,
co_cdot_624-24011,CO,CDOT,624-24011,10 Inch Drainage Pipe (Class 4) (Complete In Place),10 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-24016,CO,CDOT,624-24016,15 Inch Drainage Pipe (Class 4) (Complete In Place),15 In Drainage Pipe (CL4) (CIP),LF,
co_cdot_624-24018,CO,CDOT,624-24018,18 Inch Drainage Pipe (Class 4),18 In Drainage Pipe (CL 4),LF,
co_cdot_624-24019,CO,CDOT,624-24019,18 Inch Drainage Pipe (Class 4) (Complete In Place),18 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-24024,CO,CDOT,624-24024,24 Inch Drainage Pipe (Class 4),24 In Drainage Pipe (CL 4),LF,
co_cdot_624-24025,CO,CDOT,624-24025,24 Inch Drainage Pipe (Class 4) (Complete In Place),24 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-24031,CO,CDOT,624-24031,30 Inch Drainage Pipe (Class 4) (Complete In Place),30 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-24036,CO,CDOT,624-24036,36 Inch Drainage Pipe (Class 4),36 In Drainage Pipe (CL 4),LF,
co_cdot_624-24037,CO,CDOT,624-24037,36 Inch Drainage Pipe (Class 4) (Complete In Place),36 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-24043,CO,CDOT,624-24043,42 Inch Drainage Pipe (Class 4) (Complete In Place),42 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-24048,CO,CDOT,624-24048,48 Inch Drainage Pipe (Class 4),48 In Drainage Pipe (CL 4),LF,
co_cdot_624-24049,CO,CDOT,624-24049,48 Inch Drainage Pipe (Class 4) (Complete In Place),48 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-24055,CO,CDOT,624-24055,54 Inch Drainage Pipe (Class 4) (Complete In Place),54 In Drainage Pipe (CL 4) (CIP),LF,
co_cdot_624-25031,CO,CDOT,624-25031,30 Inch Drainage Pipe (Class 5) (Complete In Place),30 In Drainage Pipe (CL 5) (CIP),LF,
co_cdot_624-25036,CO,CDOT,624-25036,36 Inch Drainage Pipe (Class 5),36 In Drainage Pipe (CL 5),LF,
co_cdot_624-25048,CO,CDOT,624-25048,48 Inch Drainage Pipe (Class 5),48 In Drainage Pipe (CL 5),LF,
co_cdot_624-25060,CO,CDOT,624-25060,60 Inch Drainage Pipe (Class 5),60 In Drainage Pipe (CL 5),LF,
co_cdot_624-25072,CO,CDOT,624-25072,72 Inch Drainage Pipe (Class 5),72 In Drainage Pipe (CL 5),LF,
co_cdot_624-26018,CO,CDOT,624-26018,18 Inch Drainage Pipe (Class 6),18 In Drainage Pipe (CL 6),LF,
co_cdot_624-26019,CO,CDOT,624-26019,18 Inch Drainage Pipe (Class 6) (Complete In Place),18 In Drainage Pipe (CL 6) (CIP),LF,
co_cdot_624-26024,CO,CDOT,624-26024,24 Inch Drainage Pipe (Class 6),24 In Drainage Pipe (CL 6),LF,
co_cdot_624-26025,CO,CDOT,624-26025,24 Inch Drainage Pipe (Class 6) (Complete In Place),24 In Drainage Pipe (CL 6) (CIP),LF,
co_cdot_624-26036,CO,CDOT,624-26036,36 Inch Drainage Pipe (Class 6),36 In Drainage Pipe (CL 6),LF,
co_cdot_624-26048,CO,CDOT,624-26048,48 Inch Drainage Pipe (Class 6),48 In Drainage Pipe (CL 6),LF,
co_cdot_624-27013,CO,CDOT,624-27013,12 Inch Drainage Pipe (Class 7) (Complete In Place),12 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27015,CO,CDOT,624-27015,15 Inch Drainage Pipe (Class 7),15 In Drainage Pipe (CL 7),LF,
co_cdot_624-27016,CO,CDOT,624-27016,15 Inch Drainage Pipe (Class 7) (Complete In Place),15 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27018,CO,CDOT,624-27018,18 Inch Drainage Pipe (Class 7),18 In Drainage Pipe (CL 7),LF,
co_cdot_624-27019,CO,CDOT,624-27019,18 Inch Drainage Pipe (Class 7) (Complete In Place),18 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27024,CO,CDOT,624-27024,24 Inch Drainage Pipe (Class 7),24 In Drainage Pipe (CL 7),LF,
co_cdot_624-27025,CO,CDOT,624-27025,24 Inch Drainage Pipe (Class 7) (Complete In Place),24 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27030,CO,CDOT,624-27030,30 Inch Drainage Pipe (Class 7),30 In Drainage Pipe (CL 7),LF,
co_cdot_624-27031,CO,CDOT,624-27031,30 Inch Drainage Pipe (Class 7) (Complete In Place),30 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27036,CO,CDOT,624-27036,36 Inch Drainage Pipe (Class 7),36 In Drainage Pipe (CL 7),LF,
co_cdot_624-27037,CO,CDOT,624-27037,36 Inch Drainage Pipe (Class 7) (Complete In Place),36 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27043,CO,CDOT,624-27043,42 Inch Drainage Pipe (Class 7) (Complete In Place),42 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27048,CO,CDOT,624-27048,48 Inch Drainage Pipe (Class 7),48 In Drainage Pipe (CL 7),LF,
co_cdot_624-27049,CO,CDOT,624-27049,48 Inch Drainage Pipe (Class 7) (Complete In Place),48 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27055,CO,CDOT,624-27055,54 Inch Drainage Pipe (Class 7) (Complete In Place),54 In Drainage Pipe (CL 7) (CIP),LF,
co_cdot_624-27060,CO,CDOT,624-27060,60 Inch Drainage Pipe (Class 7),60 In Drainage Pipe (CL 7),LF,
co_cdot_624-27072,CO,CDOT,624-27072,72 Inch Drainage Pipe (Class 7),72 In Drainage Pipe (CL 7),LF,
co_cdot_624-28007,CO,CDOT,624-28007,6 Inch Drainage Pipe (Class 8) (Complete In Place),6 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-28012,CO,CDOT,624-28012,12 Inch Drainage Pipe (Class 8),12 In Drainage Pipe (CL 8),LF,
co_cdot_624-28013,CO,CDOT,624-28013,12 Inch Drainage Pipe (Class 8) (Complete In Place),12 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-28018,CO,CDOT,624-28018,18 Inch Drainage Pipe (Class 8),18 In Drainage Pipe (CL 8),LF,
co_cdot_624-28019,CO,CDOT,624-28019,18 Inch Drainage Pipe (Class 8) (Complete in Place),18 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-28024,CO,CDOT,624-28024,24 Inch Drainage Pipe (Class 8),24 In Drainage Pipe (CL 8),LF,
co_cdot_624-28025,CO,CDOT,624-28025,24 Inch Drainage Pipe (Class 8) (Complete in Place),24 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-28031,CO,CDOT,624-28031,30 Inch Drainage Pipe (Class 8) (Complete in Place),30 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-28036,CO,CDOT,624-28036,36 Inch Drainage Pipe (Class 8),36 In Drainage Pipe (CL 8),LF,
co_cdot_624-28037,CO,CDOT,624-28037,36 Inch Drainage Pipe (Class 8) (Complete in Place),36 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-28043,CO,CDOT,624-28043,42 Inch Drainage Pipe (Class 8) (Complete in Place),42 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-28049,CO,CDOT,624-28049,48 Inch Drainage Pipe (Class 8) (Complete in Place),48 In Drainage Pipe (CL 8) (CIP),LF,
co_cdot_624-29011,CO,CDOT,624-29011,10 Inch Drainage Pipe (Class 9) (Complete In Place),10 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29012,CO,CDOT,624-29012,12 Inch Drainage Pipe (Class 9),12 In Drainage Pipe (CL 9),LF,
co_cdot_624-29013,CO,CDOT,624-29013,12 Inch Drainage Pipe (Class 9) (Complete In Place),12 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29015,CO,CDOT,624-29015,15 Inch Drainage Pipe (Class 9),15 In Drainage Pipe (CL 9),LF,
co_cdot_624-29016,CO,CDOT,624-29016,15 Inch Drainage Pipe (Class 9) (Complete In Place),15 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29018,CO,CDOT,624-29018,18 Inch Drainage Pipe (Class 9),18 In Drainage Pipe (CL 9),LF,
co_cdot_624-29019,CO,CDOT,624-29019,18 Inch Drainage Pipe (Class 9) (Complete In Place),18 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29024,CO,CDOT,624-29024,24 Inch Drainage Pipe (Class 9),24 In Drainage Pipe (CL 9),LF,
co_cdot_624-29025,CO,CDOT,624-29025,24 Inch Drainage Pipe (Class 9) (Complete In Place),24 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29031,CO,CDOT,624-29031,30 Inch Drainage Pipe (Class 9) (Complete In Place),30 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29036,CO,CDOT,624-29036,36 Inch Drainage Pipe (Class 9),36 In Drainage Pipe (CL 9),LF,
co_cdot_624-29037,CO,CDOT,624-29037,36 Inch Drainage Pipe (Class 9) (Complete In Place),36 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29043,CO,CDOT,624-29043,42 Inch Drainage Pipe (Class 9) (Complete In Place),42 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29048,CO,CDOT,624-29048,48 Inch Drainage Pipe (Class 9),48 In Drainage Pipe (CL 9),LF,
co_cdot_624-29049,CO,CDOT,624-29049,48 Inch Drainage Pipe (Class 9) (Complete In Place),48 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29055,CO,CDOT,624-29055,54 Inch Drainage Pipe (Class 9) (Complete In Place),54 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29060,CO,CDOT,624-29060,60 Inch Drainage Pipe (Class 9),60 In Drainage Pipe (CL 9),LF,
co_cdot_624-29061,CO,CDOT,624-29061,60 Inch Drainage Pipe (Class 9) (Complete In Place),60 In Drainage Pipe (CL 9) (CIP),LF,
co_cdot_624-29072,CO,CDOT,624-29072,72 Inch Drainage Pipe (Class 9),72 In Drainage Pipe (CL 9),LF,
co_cdot_624-30013,CO,CDOT,624-30013,12 Inch Drainage Pipe (Class 10) (Complete In Place),12 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30016,CO,CDOT,624-30016,15 Inch Drainage Pipe (Class 10) (Complete In Place),15 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30018,CO,CDOT,624-30018,18 Inch Drainage Pipe (Class 10),18 In Drainage Pipe (CL 10),LF,
co_cdot_624-30019,CO,CDOT,624-30019,18 Inch Drainage Pipe (Class 10) (Complete In Place),18 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30024,CO,CDOT,624-30024,24 Inch Drainage Pipe (Class 10),24 In Drainage Pipe (CL 10),LF,
co_cdot_624-30025,CO,CDOT,624-30025,24 Inch Drainage Pipe (Class 10) (Complete In Place),24 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30031,CO,CDOT,624-30031,30 Inch Drainage Pipe (Class 10) (Complete In Place),30 In Drainage Pipe (CL 10) CIP),LF,
co_cdot_624-30036,CO,CDOT,624-30036,36 Inch Drainage Pipe (Class 10),36 In Drainage Pipe (CL 10),LF,
co_cdot_624-30037,CO,CDOT,624-30037,36 Inch Drainage Pipe (Class 10) (Complete In Place),36 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30042,CO,CDOT,624-30042,42 Inch Drainage Pipe (Class 10),42 In Drainage Pipe (CL 10),LF,
co_cdot_624-30043,CO,CDOT,624-30043,42 Inch Drainage Pipe (Class 10) (Complete In Place),42 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30048,CO,CDOT,624-30048,48 Inch Drainage Pipe (Class 10),48 In Drainage Pipe (CL 10),LF,
co_cdot_624-30049,CO,CDOT,624-30049,48 Inch Drainage Pipe (Class 10) (Complete In Place),48 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30055,CO,CDOT,624-30055,54 Inch Drainage Pipe (Class 10) (Complete In Place),54 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30060,CO,CDOT,624-30060,60 Inch Drainage Pipe (Class 10),60 In Drainage Pipe (CL 10),LF,
co_cdot_624-30061,CO,CDOT,624-30061,60 Inch Drainage Pipe (Class 10) (Complete In Place),60 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-30072,CO,CDOT,624-30072,72 Inch Drainage Pipe (Class 10),72 In Drainage Pipe (CL 10),LF,
co_cdot_624-30096,CO,CDOT,624-30096,96 Inch Drainage Pipe (Class 10),96 In Drainage Pipe (CL 10),LF,
co_cdot_624-30097,CO,CDOT,624-30097,96 Inch Drainage Pipe (Class 10) (Complete In Place),96 In Drainage Pipe (CL 10) (CIP),LF,
co_cdot_624-40031,CO,CDOT,624-40031,30 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Complete In Place),30 In Equiv Drain Pipe E (CL 0) (CIP),LF,
co_cdot_624-43019,CO,CDOT,624-43019,18 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Complete In Place),18 In Equiv Drain Pipe E (CL 3) (CIP),LF,
co_cdot_624-43037,CO,CDOT,624-43037,36 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Complete In Place),36 In Equiv Drain Pipe E (CL 3) (CIP),LF,
co_cdot_624-43043,CO,CDOT,624-43043,42 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Complete In Place),42 In Equiv Drain Pipe E (CL 3) (CIP),LF,
co_cdot_624-44018,CO,CDOT,624-44018,18 Inch Equivalent Drainage Pipe Elliptical (Class 4),18 In Equiv Drain Pipe E (CL 4),LF,
co_cdot_624-47018,CO,CDOT,624-47018,18 Inch Equivalent Drainage Pipe Elliptical (Class 7),18 In Equiv Drain Pipe E (CL 7),LF,
co_cdot_624-47030,CO,CDOT,624-47030,30 Inch Equivalent Drainage Pipe Elliptical (Class 7),30 In Equiv Drain Pipe E (CL 7),LF,
co_cdot_624-47031,CO,CDOT,624-47031,30 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Complete In Place),30 In Equiv Drain Pipe E (CL 7) (CIP),LF,
co_cdot_624-49018,CO,CDOT,624-49018,18 Inch Equivalent Drainage Pipe Elliptical (Class 9),18 In Equiv Drain Pipe E (CL 9),LF,
co_cdot_624-49019,CO,CDOT,624-49019,18 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Complete In Place),18 In Equiv Drain Pipe E (CL 9) (CIP),LF,
co_cdot_624-49025,CO,CDOT,624-49025,24 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Complete In Place),24 In Equiv Drain Pipe E (CL 9) (CIP),LF,
co_cdot_624-49031,CO,CDOT,624-49031,30 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Complete In Place),30 In Equiv Drain Pipe E (CL 9) (CIP),LF,
co_cdot_624-49061,CO,CDOT,624-49061,60 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Complete In Place),60 In Equiv Drain Pipe E (CL 9) (CIP),LF,
co_cdot_624-50019,CO,CDOT,624-50019,18 Inch Equivalent Drainage Pipe Elliptical (Class 10) (Complete In Place),18 In Equiv Drain Pipe E (CL 10) (CIP),LF,
co_cdot_624-50025,CO,CDOT,624-50025,24 Inch Equivalent Drainage Pipe Elliptical (Class 10) (Complete In Place),24 In Equiv Drain Pipe E (CL 10) (CIP),LF,
co_cdot_624-50031,CO,CDOT,624-50031,30 Inch Equivalent Drainage Pipe Elliptical (Class 10) (Complete In Place),30 In Equiv Drain Pipe E (CL 10) (CIP),LF,
co_cdot_624-50049,CO,CDOT,624-50049,48 Inch Equivalent Drainage Pipe Elliptical (Class 10) (Complete In Place),48 In Equiv Drain Pipe E (CL 10) (CIP),LF,
co_cdot_624-50055,CO,CDOT,624-50055,54 Inch Equivalent Drainage Pipe Elliptical (Class 10) (Complete In Place),54 In Equiv Drain Pipe E (CL 10) (CIP),LF,
co_cdot_624-62030,CO,CDOT,624-62030,30 Inch Equivalent Drainage Pipe Arch (Class 2),30 In Equiv Drain Pipe A (CL 2),LF,
co_cdot_624-62036,CO,CDOT,624-62036,36 Inch Equivalent Drainage Pipe Arch (Class 2),36 In Equiv Drain Pipe A (CL 2),LF,
co_cdot_624-62042,CO,CDOT,624-62042,42 Inch Equivalent Drainage Pipe Arch (Class 2),42 In Equiv Drain Pipe A (CL 2),LF,
co_cdot_624-80020,CO,CDOT,624-80020,20 Inch Drainage Pipe Centrifugally Cast Fiberglass Reinforced Polymer Mortar Pipe,20 In Drain Pipe (CCFRPM),LF,
co_cdot_624-80024,CO,CDOT,624-80024,24 Inch Drainage Pipe Centrifugally Cast Fiberglass Reinforced Polymer Mortar Pipe,24 In Drain Pipe (CCFRPM),LF,
co_cdot_625-00000,CO,CDOT,625-00000,Construction Surveying,Const Surveying,L S,
co_cdot_625-00001,CO,CDOT,625-00001,Construction Surveying (Hourly),Const Surveying (Hour),HOUR,
co_cdot_625-00002,CO,CDOT,625-00002,Construction Survey (Tunnel),Const Survey (Tunnel),L S,
co_cdot_625-00015,CO,CDOT,625-00015,Settlement Instrumentation,Settlement Instrument,L S,
co_cdot_625-00100,CO,CDOT,625-00100,Ground Penetrating Radar Survey,Ground Penetrating Radar Survey,SF,
co_cdot_625-01000,CO,CDOT,625-01000,Utility Surveying,Utility Surveying,EACH,
co_cdot_626-00000,CO,CDOT,626-00000,Mobilization,Mobilization,L S,
co_cdot_626-00007,CO,CDOT,626-00007,Mobilization,Mobilization,EACH,
co_cdot_626-00010,CO,CDOT,626-00010,Erection Equipment,Erection Equip,L S,
co_cdot_626-00020,CO,CDOT,626-00020,Emergency Response Plan,Emergency Response Plan,L S,
co_cdot_626-00100,CO,CDOT,626-00100,Mobilization (without Autopay),Mobilization (w/o Autopay),L S,
co_cdot_626-00307,CO,CDOT,626-00307,Mobilization,Mobilization,EACH,
co_cdot_626-01100,CO,CDOT,626-01100,Public Information Services,Public Information Services,L S,
co_cdot_626-01101,CO,CDOT,626-01101,Public Information Services (Tier I),Public Info Services (Tier I),L S,
co_cdot_626-01102,CO,CDOT,626-01102,Public Information Services (Tier II),Public Info Services (Tier II),L S,
co_cdot_626-01103,CO,CDOT,626-01103,Public Information Services (Tier III),Public Info Services (Tier III),L S,
co_cdot_626-01104,CO,CDOT,626-01104,Public Information Services (Tier IV),Public Info Services (Tier IV),L S,
co_cdot_626-01111,CO,CDOT,626-01111,Public Information Management (Tier I),Public Info Manage (Tier I),DAY,
co_cdot_626-01112,CO,CDOT,626-01112,Public Information Management (Tier II),Public Info Manage (Tier II),DAY,
co_cdot_626-01113,CO,CDOT,626-01113,Public Information Management (Tier III),Public Info Manage (Tier III),DAY,
co_cdot_626-01114,CO,CDOT,626-01114,Public Information Management (Tier IV),Public Info Manage (Tier IV),DAY,
co_cdot_627-00001,CO,CDOT,627-00001,Pavement Marking Paint,Pvmt Mkg Paint,GAL,
co_cdot_627-00002,CO,CDOT,627-00002,Thermoplastic Pavement Marking,Thermoplastic Pvmt Mkg,SF,
co_cdot_627-00003,CO,CDOT,627-00003,Thermoplastic Pavement Marking (Inlaid),Thermoplastic Pvmt Mkg (Inlaid),SF,
co_cdot_627-00004,CO,CDOT,627-00004,Epoxy Pavement Marking,Epoxy Pvmt Mkg,SF,
co_cdot_627-00005,CO,CDOT,627-00005,Epoxy Pavement Marking,Epoxy Pvmt Mkg,GAL,
co_cdot_627-00006,CO,CDOT,627-00006,Modified Epoxy Pavement Marking (On-Call),Mod Epoxy Pvmt Mkg (On-Call),GAL,
co_cdot_627-00007,CO,CDOT,627-00007,Epoxy Pavement Marking (Special),Epoxy Pvmt Mkg (Spec),GAL,
co_cdot_627-00008,CO,CDOT,627-00008,Modified Epoxy Pavement Marking,Mod Epoxy Pvmt Mkg,GAL,
co_cdot_627-00009,CO,CDOT,627-00009,Modified Epoxy Pavement Marking(Inlaid),Mod Epoxy (Inlaid),GAL,
co_cdot_627-00011,CO,CDOT,627-00011,Pavement Marking Paint (Waterborne),Pvmt Mkg Paint (Waterborne),GAL,
co_cdot_627-00012,CO,CDOT,627-00012,Pavement Marking Paint (Low VOC Solvent Base),Pvmt Mkg Paint (Low VOC Solvent Base),GAL,
co_cdot_627-00013,CO,CDOT,627-00013,Pavement Marking Paint (High Build),Pvmt Mkg Paint (High Build),GAL,
co_cdot_627-00014,CO,CDOT,627-00014,Pavement Marking Paint (Low Temperature),Pvmt Mkg Paint (Low Temp),GAL,
co_cdot_627-00015,CO,CDOT,627-00015,Pavement Marking Paint (Airport),Pvmt Mkg Paint (Airport),SF,
co_cdot_627-00016,CO,CDOT,627-00016,Pavement Marking Paint (High Build)(Temporary),Pvmt Mkg Paint (High Build)(Temporary),GAL,
co_cdot_627-00017,CO,CDOT,627-00017,Pavement Marking Paint (Light Application) (Airport),Pvmt Mkg Paint (Light Apply) (Airport),SF,
co_cdot_627-00019,CO,CDOT,627-00019,Pavement Marking Paint (High Build)(Inlaid),Pvmt Mkg Paint (High Build)(Inlaid),GAL,
co_cdot_627-00020,CO,CDOT,627-00020,4 Inch Pavement Marking Tape,4 In Pvmt Mkg Tape,LF,
co_cdot_627-00021,CO,CDOT,627-00021,Modified Epoxy Pavement Marking (Contrast),Modified Epoxy Pvmt Mkg (Contrast),GAL,
co_cdot_627-00025,CO,CDOT,627-00025,4 Inch Pavement Marking Tape (Removable),4 In Pvmt Mkg Tape (Rem),LF,
co_cdot_627-00027,CO,CDOT,627-00027,12 Inch Pavement Marking Tape,12 In Pvmt Mkg Tape,LF,
co_cdot_627-00029,CO,CDOT,627-00029,24 Inch Pavement Marking Tape (Removable),24 In Pvmt Mkg Tape (Rem),LF,
co_cdot_627-00030,CO,CDOT,627-00030,Raised Pavement Marker (Temporary),Raised Pvmt Marker (Temp),EACH,
co_cdot_627-00031,CO,CDOT,627-00031,Raised Pavement Marker,Raised Pvmt Marker,EACH,
co_cdot_627-00032,CO,CDOT,627-00032,Raised Flexible Pavement Marker (Temporary),Raised Flex Pvmt Marker (Temp),EACH,
co_cdot_627-00070,CO,CDOT,627-00070,Preformed Thermoplastic Pavement Marking,Preform Thermoplastic Pvmt Mkg,SF,
co_cdot_627-00090,CO,CDOT,627-00090,Pavement Marking (Special),Pvmt Mkg (Spec),SF,
co_cdot_627-00100,CO,CDOT,627-00100,Recessed Pavement Marker,Recessed Pvmt Marker,EACH,
co_cdot_627-00110,CO,CDOT,627-00110,Recessed Pavement Marker (Special),Recessed Pvmt Marker (Spec),EACH,
co_cdot_627-00200,CO,CDOT,627-00200,Warranted Epoxy Pavement Marking,War Epoxy Pvmt Mkg,SF,
co_cdot_627-00202,CO,CDOT,627-00202,Epoxy Pavement Marking (2-Year Warranty),Epoxy Pvmt Mkg (2-Yr War),SF,
co_cdot_627-00215,CO,CDOT,627-00215,Hot Applied Multipolymer Pavement Marking (150 mil),Hot Applied Multipolymer Pvmt Mkg (150),SF,
co_cdot_627-00216,CO,CDOT,627-00216,Hot Applied Multipolymer Pavement Marking (200 mil),Hot Applied Multipolymer Pvmt Mkg (200),SF,
co_cdot_627-01001,CO,CDOT,627-01001,Preformed Plastic Pavement Marking (Type I),Preform Plastic Pvmt Mkg (Ty I),SF,
co_cdot_627-01010,CO,CDOT,627-01010,Preformed Plastic Pavement Marking (Type I)(Inlaid),Preform Plastic Pvmt Mkg (TY I)(Inlaid),SF,
co_cdot_627-01011,CO,CDOT,627-01011,Preformed Plastic Pavement Marking (Contrast)(Inlaid),Preform Plastic Pvmt Mkg (Contr)(Inlaid),SF,
co_cdot_627-01012,CO,CDOT,627-01012,Preformed Plastic Pavement Marking (Type I)(Inlaid) (Install Only),Prfm Plstic Pvmt Mkg(TY I)(Inld)(Instl),SF,
co_cdot_627-02001,CO,CDOT,627-02001,Preformed Plastic Pavement Marking (Type II),Preform Plastic Pvmt Mkg (Ty II),SF,
co_cdot_627-02010,CO,CDOT,627-02010,Preformed Plastic Pavement Marking (Type II) (Inlaid),Preform Plastic Pvmt Mkg (Ty II)(Inlaid),SF,
