contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
ia_idot_20240117_49_c049_091_project_1,ia_idot_20240117_49_c049_091,FM-C049(91)--55-49,"On Y61, from IA-62 N 5.3 miles to Bellevue-Cascade Rd",HMA RESURFACING,JACKSON,Y61,"On Y61, from IA-62 N 5.3 miles to Bellevue-Cascade Rd",2110369
ia_idot_20240117_50_0144_069_project_1,ia_idot_20240117_50_0144_069,NHSX-014-4(069)--3H-50,NCL of Monroe to 0.4 mi S of I-80,HMA RESURFACING WITH MILLING,JASPER,IOWA 14,NCL of Monroe to 0.4 mi S of I-80,9381947.96
ia_idot_20240117_50_0805_382_a_project_1,ia_idot_20240117_50_0805_382_a,IMX-080-5(382)169--02-50,0.5 mi E of Co Rd T14 (Speedway Dr) to 0.5 mi E of IA 224,PAVEMENT PLANING/GROOVING,JASPER,I-80,0.5 mi E of Co Rd T14 (Speedway Dr) to 0.5 mi E of IA 224,1747697.02
ia_idot_20240117_52_0016_722_project_1,ia_idot_20240117_52_0016_722,MP-001-6(722)90--76-52,From I-80 to Solon,HMA PATCHING,JOHNSON,IOWA 1,From I-80 to Solon,392895.5
ia_idot_20240117_52_0016_722_project_2,ia_idot_20240117_52_0016_722,MP-064-6(710)10--76-53,From E Jct IA 38 to IA 136,HMA PATCHING,JONES,IOWA 64,From E Jct IA 38 to IA 136,378597.04
ia_idot_20240117_52_3806_388_project_1,ia_idot_20240117_52_3806_388,IM-NHS-380-6(388)3--03-52,1.0 mi N of Forevergreen Rd to N of Swan Lake Rd,PCC PAVEMENT - GRADE AND NEW,JOHNSON,I-380,1.0 mi N of Forevergreen Rd to N of Swan Lake Rd,10706639.31
ia_idot_20240117_52_3806_388_project_2,ia_idot_20240117_52_3806_388,IM-380-6(389)3--13-52,1.0 mi N of Forevergreen Rd to N of Swan Lake Rd,TRAFFIC SIGNS,JOHNSON,I-380,1.0 mi N of Forevergreen Rd to N of Swan Lake Rd,1608111.9
ia_idot_20240117_52_3806_388_project_3,ia_idot_20240117_52_3806_388,IM-NHS-380-6(390)3--03-52,1.0 mi N of Forevergreen Rd to N of Swan Lake Rd,RCB CULVERT EXTENSION - TWIN BOX,JOHNSON,I-380,1.0 mi N of Forevergreen Rd to N of Swan Lake Rd,254864.2
ia_idot_20240117_52_3806_439_project_1,ia_idot_20240117_52_3806_439,ITS-380-6(439)11--25-52,N of Co Rd F12/120th St to S of US 30,ITS INFRASTRUCTURE,JOHNSON,I-380,N of Co Rd F12/120th St to S of US 30,546985.78
ia_idot_20240117_56_0191_050_project_1,ia_idot_20240117_56_0191_050,BRFN-019-1(50)--39-56,Soap Creek and BNSF RR 1.8 mi E of US 61 in Keokuk,BRIDGE DECK OVERLAY,LEE,IOWA 19,Soap Creek and BNSF RR 1.8 mi E of US 61 in Keokuk,1831141.58
ia_idot_20240117_57_1513_182_project_1,ia_idot_20240117_57_1513_182,NHSN-151-3(182)--2R-57,"Parcel No 3, 2593 O'Brien Lane, Springville",SALVAGE AND REMOVAL,LINN,U.S. 151,"Parcel No 3, 2593 O'Brien Lane, Springville",16600
ia_idot_20240117_58_0701_039_project_1,ia_idot_20240117_58_0701_039,STPN-070-1(039)--2J-58,N of IA 92 to IA 22,MICROSURFACING,LOUISA,IOWA 70,N of IA 92 to IA 22,2764707.31
ia_idot_20240117_63_0926_038_project_1,ia_idot_20240117_63_0926_038,BRFN-092-6(38)--39-63,Old Highway 92 3.9 mi E of E Jct IA 5,BRIDGE DECK OVERLAY,MARION,IOWA 92,Old Highway 92 3.9 mi E of E Jct IA 5,832512.5
ia_idot_20240117_63_4040_613_project_1,ia_idot_20240117_63_4040_613,STBG-SWAP-4040(613)--SG-63,"In the city of Knoxville, On Main St from 3rd St to 5th St on Robinson St from S 4th St to S 7th St",PCC PAVEMENT - GRADE & REPLACE,MARION,MAIN STREET,"In the city of Knoxville, On Main St from 3rd St to 5th St on Robinson St from S 4th St to S 7th St",3061650.49
ia_idot_20240117_67_0293_724_project_1,ia_idot_20240117_67_0293_724,MPIN-029-3(724)106--0N-67,N of Co Rd E60 (Blencoe) to IA 175 (SB),HMA CRACK FILLING,MONONA,I-29,N of Co Rd E60 (Blencoe) to IA 175 (SB),62258
ia_idot_20240117_67_0293_725_project_1,ia_idot_20240117_67_0293_725,MPIN-029-3(725)103--0N-67,2 mi N of Harrison Co Line (SB),MICROSURFACING,MONONA,I-29,2 mi N of Harrison Co Line (SB),199508.65
ia_idot_20240117_70_0224_079_project_1,ia_idot_20240117_70_0224_079,BRFN-022-4(79)--39-70,Wapsinonoc Creek 1 mi E of W Jct IA 70,BRIDGE DECK OVERLAY,MUSCATINE,IOWA 22,Wapsinonoc Creek 1 mi E of W Jct IA 70,574098.2
ia_idot_20240117_71_c071_089_project_1,ia_idot_20240117_71_c071_089,LFM-90--7X-71,"On 100th Ave., from Hwy 18 S 3 miles to 350th Street",PCC OVERLAY,OBRIEN,100TH AVE.,"On 100th Ave., from Hwy 18 S 3 miles to 350th Street",1151321.69
ia_idot_20240117_71_c071_089_project_2,ia_idot_20240117_71_c071_089,STP-S-C071(89)--5E-71,"On M-12 Vine Ave., from 320th Street S Approx. 6.9 miles to 390th Street",PCC OVERLAY,OBRIEN,M-12,"On M-12 Vine Ave., from 320th Street S Approx. 6.9 miles to 390th Street",2854794.86
ia_idot_20240117_71_c071_089_project_3,ia_idot_20240117_71_c071_089,FM-C071(91)--55-71,"On M12, from B-40 S 8 miles to IA Hwy 10",PCC OVERLAY,OBRIEN,M12,"On M12, from B-40 S 8 miles to IA Hwy 10",2943391.25
ia_idot_20240117_75_0601_064_project_1,ia_idot_20240117_75_0601_064,NHSN-060-1(064)--2R-75,US 75 Interchange to Minnesota State Line,MISCELLANEOUS,PLYMOUTH,IOWA 60,US 75 Interchange to Minnesota State Line,830157.5
ia_idot_20240117_77_0804_105_project_1,ia_idot_20240117_77_0804_105,IMN-080-4(105)125--0E-77,University Ave to N of Douglas Ave in Clive and Urbandale - US 6 / Hickman Rd Interchange,ITS INFRASTRUCTURE,POLK,I-80,University Ave to N of Douglas Ave in Clive and Urbandale - US 6 / Hickman Rd Interchange,975037.92
ia_idot_20240117_77_c077_240_project_1,ia_idot_20240117_77_c077_240,BROS-C077(240)--8J-77,"ON SE 48TH AVE, EAST OF SE POWERS DRIVE",RCB CULVERT NEW - TWIN BOX,POLK,SE 48TH AVENUE,"ON SE 48TH AVE, EAST OF SE POWERS DRIVE",574020.7
