agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
ne_ndot_version_3091.32_current,ne_ndot_3091.32,,,"14"" DOWELED CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3095.07_current,ne_ndot_3095.07,,,"7"" CONCRETE PAVEMENT",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3095.10_current,ne_ndot_3095.10,,,"10"" CONCRETE PAVEMENT",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3098.14_current,ne_ndot_3098.14,,,"14"" CONCRETE PAVEMENT, CLASS PR-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3099.05_historical,ne_ndot_3099.05,,,"5"" CONCRETE SURFACING",,SY,,ne_ndot_aup_july_june_2024_2025,false
ne_ndot_version_3099.06_current,ne_ndot_3099.06,,,"6"" CONCRETE SURFACING",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3199.50_historical,ne_ndot_3199.50,,,CONCRETE PAVEMENT REPAIR,,SY,,ne_ndot_aup_july_june_2023_2024,false
ne_ndot_version_3205.00_current,ne_ndot_3205.00,,,CONCRETE PAVEMENT JOINT REPAIR,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3205.03_historical,ne_ndot_3205.03,,,"CONCRETE PAVEMENT JOINT REPAIR, CLASS PR3-4 CONCRETE",,CY,,ne_ndot_aup_july_june_2021_2022,false
ne_ndot_version_3210.10_current,ne_ndot_3210.10,,,DIAMOND GRINDING AND TEXTURING CONCRETE PAVEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3210.50_current,ne_ndot_3210.50,,,POLYURETHANE PAVEMENT STABILIZATION,,POUND,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.00_current,ne_ndot_3211.00,,,SEALING TRANSVERSE JOINT,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.05_current,ne_ndot_3211.05,,,SEALING TRANSVERSE AND LONGITUDINAL CRACK,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.10_current,ne_ndot_3211.10,,,SEALING TRANSVERSE WORKING CRACK,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.15_current,ne_ndot_3211.15,,,SEALING LONGITUDINAL CRACK,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.17_current,ne_ndot_3211.17,,,SEALING LONGITUDINAL JOINT,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.20_current,ne_ndot_3211.20,,,TRANSVERSE CRACK SEALING ON SURFACED SHOULDER,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.25_current,ne_ndot_3211.25,,,SEALING CRACKS,,LIN FT,611.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.30_current,ne_ndot_3211.30,,,SEALING JOINTS,,LIN FT,612.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3211.35_current,ne_ndot_3211.35,,,SEALING CONCRETE REPAIR JOINT,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3220.02_current,ne_ndot_3220.02,,,"CONCRETE PAVEMENT, CLASS ""PR""",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3220.03_current,ne_ndot_3220.03,,,"CONCRETE PAVEMENT, CLASS ""PR""",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.10_current,ne_ndot_3221.10,,,COMBINATION CONCRETE CURB AND GUTTER REPAIR,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.12_current,ne_ndot_3221.12,,,CONCRETE CLASS 47B-3500 COMBINATION CONCRETE CURB AND GUTTER REPAIR,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.13_current,ne_ndot_3221.13,,,"CONCRETE PAVEMENT, CLASS PR-3500",,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.15_current,ne_ndot_3221.15,,,"CONCRETE PAVEMENT, CLASS PR-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.16_current,ne_ndot_3221.16,,,"CONCRETE PAVEMENT, CLASS PR-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.17_current,ne_ndot_3221.17,,,"CONCRETE PAVEMENT, CLASS 47B-3500",,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.18_historical,ne_ndot_3221.18,,,"CONCRETE PAVEMENT, CLASS 47B-3500",,CY,,ne_ndot_aup_july_june_2017_2018,false
ne_ndot_version_3221.19_current,ne_ndot_3221.19,,,"CONCRETE PAVEMENT, CLASS HE-3500",,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.20_current,ne_ndot_3221.20,,,"CONCRETE PAVEMENT, CLASS HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3221.21_historical,ne_ndot_3221.21,,,"CONCRETE PAVEMENT, CLASS 47B-HE-3500",,CY,,ne_ndot_aup_july_june_2017_2018,false
ne_ndot_version_3222.06_current,ne_ndot_3222.06,,,"8"" CONCRETE PAVEMENT, CLASS PR-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3222.09_current,ne_ndot_3222.09,,,"9"" CONCRETE PAVEMENT, CLASS PR-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3223.10_current,ne_ndot_3223.10,,,"10"" CONCRETE PAVEMENT, CLASS PR-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3223.15_current,ne_ndot_3223.15,,,"10"" DOWELED CONCRETE PAVEMENT, CLASS PR-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.10_current,ne_ndot_3275.10,,,RUBBLIZATION OF CONCRETE PAVEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.20_current,ne_ndot_3275.20,,,CRUSH CONCRETE PAVEMENT,,SQ YD,312.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.21_current,ne_ndot_3275.21,,,CRUSH CONCRETE,,TON,312.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.25_current,ne_ndot_3275.25,,,HAULING AND STOCKPILING CRUSHED CONCRETE,,TON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.30_current,ne_ndot_3275.30,,,SALVAGING AND STOCKPILING CRUSHED CONCRETE,,TON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.60_current,ne_ndot_3275.60,,,STOCKPILING CONCRETE RIPRAP,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.70_current,ne_ndot_3275.70,,,CRUSHING OF CONCRETE PAVEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.75_current,ne_ndot_3275.75,,,SCREENING CRUSHED CONCRETE,,TON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.90_current,ne_ndot_3275.90,,,PREPARATION OF STOCKPILE AREA,,ACRE,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3275.91_current,ne_ndot_3275.91,,,PREPARATION OF STOCKPILE AREA,,ACRE,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.00_current,ne_ndot_3300.00,,,TINING,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.03_current,ne_ndot_3300.03,,,DEDUCTION,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.07_current,ne_ndot_3300.07,,,SAWING JOINTS REVISED,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.15_current,ne_ndot_3300.15,,,TYPE A SAWING,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.17_historical,ne_ndot_3300.17,,,TYPE C SAWING,,LF,,ne_ndot_aup_calendar_2020,false
ne_ndot_version_3300.27_current,ne_ndot_3300.27,,,LINSEED OIL BASE WHITE PIGMENTED CURING COMPOUND,,GALLON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.40_current,ne_ndot_3300.40,,,CONCRETE PAD,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.41_current,ne_ndot_3300.41,,,CONCRETE PAD,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.44_current,ne_ndot_3300.44,,,CONCRETE TERRACE,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.45_current,ne_ndot_3300.45,,,STONE PAVING,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.46_current,ne_ndot_3300.46,,,TEMPORARY SLOPE PROTECTION,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.49_historical,ne_ndot_3300.49,,,COBBLESTONE,,TON,,ne_ndot_aup_july_june_2018_2019,false
ne_ndot_version_3300.50_current,ne_ndot_3300.50,,,PORTLAND CEMENT CONCRETE SMOOTHNESS TESTING,,LUMP SUM,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.60_current,ne_ndot_3300.60,,,SMOOTHNESS INCENTIVE - CONCRETE PAVEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.62_current,ne_ndot_3300.62,,,SMOOTHNESS DISINCENTIVE - CONCRETE PAVEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.63_current,ne_ndot_3300.63,,,THICKNESS DISINCENTIVE - CONCRETE PAVEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.64_current,ne_ndot_3300.64,,,THICKNESS DISINCENTIVE - CONCRETE PAVEMENT,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.65_current,ne_ndot_3300.65,,,CONCRETE PAVEMENT THICKNESS CORE,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.66_current,ne_ndot_3300.66,,,CONCRETE PAVEMENT STRENGTH CORE,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3300.85_current,ne_ndot_3300.85,,,CONCRETE QC/QA,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.00_current,ne_ndot_3800.00,,,FINE AGGREGATE STOCKPILED,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.02_current,ne_ndot_3800.02,,,FINE AGGREGATE STOCKPILED,,TON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.05_current,ne_ndot_3800.05,,,FINE AGGREGATE STOCKPILED,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.10_current,ne_ndot_3800.10,,,COARSE AGGREGATE STOCKPILED,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.12_current,ne_ndot_3800.12,,,COARSE AGGREGATE STOCKPILED,,TON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.14_current,ne_ndot_3800.14,,,COARSE AGGREGATE STOCKPILED,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.30_current,ne_ndot_3800.30,,,PORTLAND CEMENT STOCKPILED,,TON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.31_current,ne_ndot_3800.31,,,PORTLAND CEMENT STOCKPILED,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3800.50_current,ne_ndot_3800.50,,,REINFORCING STEEL STOCKPILED,,POUND,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.00_current,ne_ndot_3900.00,,,EXTRA CEMENT,,SACK,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.02_historical,ne_ndot_3900.02,,,CEMENTITIOUS MATERIAL,,TON,,ne_ndot_aup_calendar_2021,false
ne_ndot_version_3900.12_current,ne_ndot_3900.12,,,ADDITIONAL REBAR,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.15_current,ne_ndot_3900.15,,,DELAY CLAIMS - PRODUCTION,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.18_current,ne_ndot_3900.18,,,ADDITIONAL WORK,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.19_current,ne_ndot_3900.19,,,ADDITIONAL WORK,,HOUR,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.20_current,ne_ndot_3900.20,,,ADDITIONAL COST,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.22_current,ne_ndot_3900.22,,,ADDITIONAL COST,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.25_current,ne_ndot_3900.25,,,ADDITIONAL COST,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.26_current,ne_ndot_3900.26,,,ADDITIONAL COST,,SQ FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.27_current,ne_ndot_3900.27,,,ADDITIONAL COST,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.29_current,ne_ndot_3900.29,,,TEMPORARY TRAIL COVER,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3900.40_current,ne_ndot_3900.40,,,CONCRETE SAW BLADES,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3905.00_current,ne_ndot_3905.00,,,PORTLAND CEMENT,,TON,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3905.10_historical,ne_ndot_3905.10,,,"QUICK SET CEMENT-CAN, BRUSH ON",,EACH,,ne_ndot_aup_calendar_2018,false
ne_ndot_version_3970.00_current,ne_ndot_3970.00,,,RELOCATION,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
