project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2024q4_fsa053a_002,BROADWAY SIGNAL REPLACEMENT,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-10-24,cdot_cost_data_book_2024_q4,FSA053A-002,FSA053A-002 BROADWAY SIGNAL REPLACEMENT,Adiona Transportation Solutions LLC,1,U,5,1259445.25,62.97
cdot_2024q4_fsa0661_017,SH 66 AND WCR 21 WIDENING,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-01-11,cdot_cost_data_book_2024_q4,FSA0661-017,FSA0661-017 SH 66 AND WCR 21 WIDENING,MARTIN MARIETTA MATERIALS,4,P,4,2938959.50,102.98
cdot_2024q4_fsa070a_039,I-70:CHIEF HOSA (MP 252.4) TO,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-05-09,cdot_cost_data_book_2024_q4,FSA070A-039,FSA070A-039 I-70:CHIEF HOSA (MP 252.4) TO,MARTIN MARIETTA MATERIALS,1,M,5,34726159.27,112.24
cdot_2024q4_fsa072a_051,SH 72 AT 80TH AVE,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-10-09,cdot_cost_data_book_2024_q4,FSA072A-051,FSA072A-051 SH 72 AT 80TH AVE,"STRUCTURES, INC.",1,R,1,614456.24,94.53
cdot_2024q4_fsa0851_012,"US 85 & CARSON BLVD, FOUNTAIN,",CDOT,CO,Colorado / CDOT District 2,Roadway,2024-06-13,cdot_cost_data_book_2024_q4,FSA0851-012,"FSA0851-012 US 85 & CARSON BLVD, FOUNTAIN,","SEMA CONSTRUCTION, INC.",2,U,3,2588099.25,95.86
cdot_2024q4_fsa2873_222,FEDERAL BLVD (SH 287C): FROM 9,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-06-06,cdot_cost_data_book_2024_q4,FSA2873-222,FSA2873-222 FEDERAL BLVD (SH 287C): FROM 9,HCG Construction,1,U,3,2895069.00,103.40
cdot_2024q4_fsa4701_135,RAMP TERMINAL INTERSECTIONS OF,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-02-15,cdot_cost_data_book_2024_q4,FSA4701-135,FSA4701-135 RAMP TERMINAL INTERSECTIONS OF,VILLALOBOS CONCRETE INC.,6,R,5,6229334.71,113.26
cdot_2024q4_im0251_363,I25A SOUTH OF TRINIDAD SURFACE,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-11-14,cdot_cost_data_book_2024_q4,IM0251-363,IM0251-363 I25A SOUTH OF TRINIDAD SURFACE,"OLDCASTLE SW GROUP, INC.",2,R,1,15844435.90,102.22
cdot_2024q4_im0251_364,I25A NORTH OF TRINIDAD SURFACE,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-12-12,cdot_cost_data_book_2024_q4,IM0251-364,IM0251-364 I25A NORTH OF TRINIDAD SURFACE,"OLDCASTLE SW GROUP, INC.",2,P,1,22965972.10,99.85
cdot_2024q4_im0762_060,I-76 (MP 132.9-149.3),CDOT,CO,Colorado / CDOT District 4,Roadway,2024-04-25,cdot_cost_data_book_2024_q4,IM0762-060,IM0762-060 I-76 (MP 132.9-149.3),"CASTLE ROCK CONST. CO. OF COLO, LLC",4,P,4,20899040.68,101.27
