bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_ralston_yukon_garrison_20210205_row_0195,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,195,18-ST-40,188,CDOT 614,CDOT,CDOT 614,TERMINATE FIBER OPTIC CABLE (12 STRAND),614-87612,TERMINATE FIBER OPTIC CABLE (12 STRAND),EA,EACH,4.00,4000.00,1501.07,614-87612,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0196,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,196,18-ST-40,189,CDOT 614,CDOT,CDOT 614,ETHERNET SWITCH,614-87687,ETHERNET SWITCH,EA,EACH,4.00,3000.00,4738.16,614-87687,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0197,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,197,18-ST-40,190,COA 3.28,COA,COA 3.28,4 INCH GATE VALVE & BOX,619-75032,4 INCH GATE VALVE & BOX,EA,EACH,1.00,1200.00,1546.89,619-75032,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0198,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,198,18-ST-40,191,COA 3.28,COA,COA 3.28,6 INCH GATE VALVE & BOX,619-75048,6 INCH GATE VALVE & BOX,EA,EACH,2.00,1500.00,1804.54,619-75048,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0199,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,199,18-ST-40,192,COA 3.28,COA,COA 3.28,8 INCH GATE VALVE & BOX,619-75064,8 INCH GATE VALVE & BOX,EA,EACH,11.00,1800.00,2388.90,619-75064,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0200,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,200,18-ST-40,193,COA 3.28,COA,COA 3.28,12 INCH GATE VALVE & BOX,619-75096,12 INCH GATE VALVE & BOX,EA,EACH,9.00,3000.00,3934.24,619-75096,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0201,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,201,18-ST-40,194,COA 3.8,COA,COA 3.8,FIRE HYDRANT (ASSEMBLY),619-78048,FIRE HYDRANT (ASSEMBLY),EA,EACH,25.00,9000.00,7745.65,619-78048,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0202,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,202,18-ST-40,195,COA 3.22,COA,COA 3.22,STAIR,,STAIR,EA,EACH,7.00,3000.00,6292.90,,unmatched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0203,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,203,18-ST-40,196,COA 3.37,COA,COA 3.37,TEMPORARY DRIVEWAY PAVING,,TEMPORARY DRIVEWAY PAVING,SY,SY,3500.00,40.00,36.74,,unmatched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0204,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,204,18-ST-40,197,COA 3.50,COA,COA 3.50,6' BENCH,622-00250,6' BENCH,EA,EACH,4.00,3000.00,2840.28,622-00250,matched,2021-02-05
