bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_watson_20211216_row_0156,619-78048,6 INCH FIRE HYDRANT,EACH,619-78048,6 Inch Fire Hydrant,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0157,620-00020,SANITARY FACILITY,EACH,620-00020,Sanitary Facility,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0158,621-00450,DETOUR PAVEMENT,SY,621-00450,Detour Pavement,SY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0160,623-00164,DRIP EMITTER,EACH,623-00164,Drip Emitter,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0161,623-00184,1/2 INCH FLUSH UNIT,EACH,623-00184,1/2 Inch Flush Unit,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0163,623-00212,12 INCH POP UP SPRAY SPRINKLER,EACH,623-00212,12 Inch Pop-Up Spray Sprinkler,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0168,623-00604,3 INCH PLASTIC PIPE (IRRIGATION/SLEEVE),LF,623-00603,3 Inch Plastic Pipe (Irrigation/Sleeve),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0170,623-03108,1 INCH AUTOMATIC CONTROL VALVE,EACH,623-03108,1 Inch Automatic Control Valve,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0172,623-05008,1 INCH GATE VALVE,EACH,619-75008,1 Inch Gate Valve,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0173,623-05012,1-1/2 INCH GATE VALVE,EACH,619-75012,1-1/2 Inch Gate Valve,EACH,2,multiple_exact_description_unit_candidates
fhu_watson_20211216_row_0173,623-05012,1-1/2 INCH GATE VALVE,EACH,623-05012,1-1/2 Inch Gate Valve,EACH,2,multiple_exact_description_unit_candidates
fhu_watson_20211216_row_0174,625-00000,CONSTRUCTION SURVEYING,L S,625-00000,Construction Surveying,L S,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0175,626-00000,MOBILIZATION,L S,626-00000,Mobilization,L S,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0176,627-00005,EPOXY PAVEMENT MARKING,GAL,627-00005,Epoxy Pavement Marking,GAL,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0177,627-00070,PREFORMED THERMOPLASTIC PAVEMENT MARKING,SF,627-00070,Preformed Thermoplastic Pavement Marking,SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0178,627-30110,THERMOPLASTIC PAVEMENT MARKING (XWALK-STOPLINE),SF,627-30210,Thermoplastic Pavement Marking (Xwalk-Stopline),SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0179,627-30205,THERMOPLASTIC PAVEMENT MARKING (WORD-SYMBOL),SF,627-30205,Thermoplastic Pavement Marking (Word-Symbol),SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0180,630-00000,FLAGGING,HOUR,630-00000,Flagging,HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0181,630-00007,TRAFFIC CONTROL INSPECTION,DAY,630-00007,Traffic Control Inspection,DAY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0182,630-00012,TRAFFIC CONTROL MANAGEMENT,DAY,630-00012,Traffic Control Management,DAY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0183,630-80335,BARRICADE (TYPE 3 M-A) (TEMPORARY),EACH,630-80335,Barricade (Type 3 M-A) (Temporary),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0184,630-80341,CONSTRUCTION TRAFFIC SIGN (PANEL SIZE A),EACH,630-80341,Construction Traffic Sign (Panel Size A),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0185,630-80342,CONSTRUCTION TRAFFIC SIGN (PANEL SIZE B),EACH,630-80342,Construction Traffic Sign (Panel Size B),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0186,630-80355,PORTABLE MESSAGE SIGN PANEL,EACH,630-80355,Portable Message Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0187,630-80360,DRUM CHANNELIZING DEVICE,EACH,630-80360,Drum Channelizing Device,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0188,630-80372,CONCRETE BARRIER (TEMPORARY) (FURNISH AND INSTALL),LF,630-80372,Concrete Barrier (Temporary) (Furnish and Install),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0189,630-80380,TRAFFIC CONE,EACH,630-80380,Traffic Cone,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0190,630-85010,IMPACT ATTENUATOR (TEMPORARY),EACH,630-85010,Impact Attenuator (Temporary),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0191,700-70010,F/A MINOR CONTRACT REVISIONS,F A,700-70010,F/A Minor Contract Revisions,F A,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0193,700-70380,F/A EROSION CONTROL,F A,700-70380,F/A Erosion Control,F A,1,single_exact_description_unit_candidate
