bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_watson_20211216_row_0066,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,66,320150,,212-00700,CDOT,212-00700,ORGANIC FERTILIZER LOW N,212-00700,ORGANIC FERTILIZER LOW N,POUNDS,LB,356.00,4.00,3.34,212-00700,matched,2021-12-16
fhu_watson_20211216_row_0067,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,67,320150,,212-00701,CDOT,212-00701,COMPOST (MECHANICALLY APPLIED),212-00701,COMPOST (MECHANICALLY APPLIED),CY,CY,77.00,50.00,156.00,212-00701,matched,2021-12-16
fhu_watson_20211216_row_0068,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,68,320150,,212-00703,CDOT,212-00703,HUMATE,212-00703,HUMATE,POUNDS,LB,240.00,3.00,4.52,212-00703,matched,2021-12-16
fhu_watson_20211216_row_0069,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,69,320150,,212-00704,CDOT,212-00704,MYCORRHIZAE,212-00704,MYCORRHIZAE,POUNDS,LB,10.00,25.00,103.89,212-00704,matched,2021-12-16
fhu_watson_20211216_row_0070,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,70,320150,,212-00706,CDOT,212-00706,SEEDING (NATIVE) DRILL,212-00706,SEEDING (NATIVE) DRILL,ACRE,ACRE,1.20,4000.00,3185.35,212-00706,matched,2021-12-16
fhu_watson_20211216_row_0071,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,71,320150,,213-00003,CDOT,213-00003,MULCHING (WEED FREE),213-00003,MULCHING (WEED FREE),ACRE,ACRE,0.50,3000.00,4193.30,213-00003,matched,2021-12-16
fhu_watson_20211216_row_0072,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,72,320150,,213-00005,CDOT,213-00005,MULCH (WOOD),213-00005,MULCH (WOOD),CF,CF,4310.00,4.00,7.68,213-00005,matched,2021-12-16
fhu_watson_20211216_row_0073,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,73,320150,,213-00061,CDOT,213-00061,MULCHING (TACKIFIER),213-00061,MULCHING (TACKIFIER),LB,LB,100.00,5.00,7.18,213-00061,matched,2021-12-16
fhu_watson_20211216_row_0074,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,74,320150,,213-00462,CDOT,213-00462,METAL LANDSCAPE BORDER (3/16 X 5-1/2 INCH),213-00462,METAL LANDSCAPE BORDER (3/16 X 5-1/2 INCH),LF,LF,178.00,8.00,7.18,213-00462,matched,2021-12-16
fhu_watson_20211216_row_0075,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,75,320150,,213-00705,CDOT,213-00705,LANDSCAPE BOULDERS (SPECIAL),213-00705,LANDSCAPE BOULDERS (SPECIAL),EACH,EACH,18.00,1000.00,1522.38,213-00705,matched,2021-12-16
fhu_watson_20211216_row_0076,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,76,320150,,214-00220,CDOT,214-00220,DECIDUOUS TREE (2 INCH CALIPER),214-00220,DECIDUOUS TREE (2 INCH CALIPER),EACH,EACH,8.00,500.00,777.71,214-00220,matched,2021-12-16
fhu_watson_20211216_row_0077,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,77,320150,,214-00225,CDOT,214-00225,DECIDUOUS TREE (2.5 INCH CALIPER),214-00225,DECIDUOUS TREE (2.5 INCH CALIPER),EACH,EACH,15.00,600.00,797.33,214-00225,matched,2021-12-16
fhu_watson_20211216_row_0078,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,78,320150,,214-00350,CDOT,214-00350,DECIDUOUS SHRUB (5 GALLON CONTAINER),214-00350,DECIDUOUS SHRUB (5 GALLON CONTAINER),EACH,EACH,168.00,60.00,95.30,214-00350,matched,2021-12-16
fhu_watson_20211216_row_0079,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,79,320150,,214-00508,CDOT,214-00508,EVERGREEN TREE (8 FOOT) (BALL AND BURLAP),214-00508,EVERGREEN TREE (8 FOOT) (BALL AND BURLAP),EACH,EACH,10.00,800.00,1063.40,214-00508,matched,2021-12-16
fhu_watson_20211216_row_0080,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,80,320150,,214-00512,CDOT,214-00512,EVERGREEN TREE (12 FOOT) (BALL AND BURLAP),214-00512,EVERGREEN TREE (12 FOOT) (BALL AND BURLAP),EACH,EACH,5.00,1800.00,1539.80,214-00512,matched,2021-12-16
fhu_watson_20211216_row_0081,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,81,320150,,214-00650,CDOT,214-00650,EVERGREEN SHRUB (5 GALLON CONTAINER),214-00650,EVERGREEN SHRUB (5 GALLON CONTAINER),EACH,EACH,152.00,65.00,183.09,214-00650,matched,2021-12-16
fhu_watson_20211216_row_0082,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,82,320150,,214-00908,CDOT,214-00908,PERENNIALS (1 GALLON CONTAINER),214-00908,PERENNIALS (1 GALLON CONTAINER),EACH,EACH,469.00,20.00,36.62,214-00908,matched,2021-12-16
