bidder_item_observation_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_arapahoe_big_dry_creek_20210924_row_0010_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00155,REMOVAL OF WALL,LF,LF,160.00,31.00,4960.00
fhu_arapahoe_big_dry_creek_20210924_row_0010_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00155,REMOVAL OF WALL,LF,LF,160.00,20.40,3264.00
fhu_arapahoe_big_dry_creek_20210924_row_0010_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00155,REMOVAL OF WALL,LF,LF,160.00,26.00,4160.00
fhu_arapahoe_big_dry_creek_20210924_row_0010_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00155,REMOVAL OF WALL,LF,LF,160.00,45.00,7200.00
fhu_arapahoe_big_dry_creek_20210924_row_0010_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00155,REMOVAL OF WALL,LF,LF,160.00,11.00,1760.00
fhu_arapahoe_big_dry_creek_20210924_row_0011_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,283.00,28.00,7924.00
fhu_arapahoe_big_dry_creek_20210924_row_0011_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,283.00,9.92,2807.36
fhu_arapahoe_big_dry_creek_20210924_row_0011_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,283.00,20.00,5660.00
fhu_arapahoe_big_dry_creek_20210924_row_0011_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,283.00,45.00,12735.00
fhu_arapahoe_big_dry_creek_20210924_row_0011_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,283.00,10.00,2830.00
fhu_arapahoe_big_dry_creek_20210924_row_0012_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00200,REMOVAL OF SIDEWALK,SY,SY,1197.00,15.00,17955.00
fhu_arapahoe_big_dry_creek_20210924_row_0012_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00200,REMOVAL OF SIDEWALK,SY,SY,1197.00,11.65,13945.05
fhu_arapahoe_big_dry_creek_20210924_row_0012_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00200,REMOVAL OF SIDEWALK,SY,SY,1197.00,14.00,16758.00
fhu_arapahoe_big_dry_creek_20210924_row_0012_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00200,REMOVAL OF SIDEWALK,SY,SY,1197.00,45.00,53865.00
fhu_arapahoe_big_dry_creek_20210924_row_0012_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00200,REMOVAL OF SIDEWALK,SY,SY,1197.00,7.00,8379.00
fhu_arapahoe_big_dry_creek_20210924_row_0013_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00201,REMOVAL OF CURB,LF,LF,647.00,8.00,5176.00
fhu_arapahoe_big_dry_creek_20210924_row_0013_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00201,REMOVAL OF CURB,LF,LF,647.00,8.27,5350.69
