source_document_id,source_id,document_role,source_url,source_file_name,sha256,media_type,published_on,retrieved_on,notes
sd_sddot_bid_tabs_2025_03_26_final,sd_sddot_bid_tabs_2025_03_26,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/03262025final.pdf,03262025final.pdf,7201da5b289d401627a28ebc8342a898c8247d751b0793a0938d3dbd9844fdf3,application/pdf,2025-03-26,2026-07-27,
sd_sddot_bid_tabs_2025_04_02_abstract,sd_sddot_bid_tabs_2025_04_02,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/04022025abstract.pdf,04022025abstract.pdf,f4fd2d9257d58456c999660589941f93deaeb269c1dd16aa468384f0b8d25af4,application/pdf,2025-04-02,2026-07-27,
sd_sddot_bid_tabs_2025_04_02_final,sd_sddot_bid_tabs_2025_04_02,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/04022025final.pdf,04022025final.pdf,ee3666d6f28fb0204328fb0fb595bf9ec3af0fd46bc787d0c5e74f95b5f212be,application/pdf,2025-04-02,2026-07-27,
sd_sddot_bid_tabs_2025_04_16_abstract,sd_sddot_bid_tabs_2025_04_16,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/04162025abstract.pdf,04162025abstract.pdf,d183090ddd6fb8aea580ec930dafcf5b71b168b15a725eec71930083c391186d,application/pdf,2025-04-16,2026-07-27,
sd_sddot_bid_tabs_2025_04_16_final,sd_sddot_bid_tabs_2025_04_16,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/04162025final.pdf,04162025final.pdf,08d13123a812f2c623830b808377983ab4e7d025cc68bdb6ea90bb67c59f0ec6,application/pdf,2025-04-16,2026-07-27,
sd_sddot_bid_tabs_2025_05_07_abstract,sd_sddot_bid_tabs_2025_05_07,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/05072025abstract.pdf,05072025abstract.pdf,c6dd59979920e007961473263b156910ee5c273dcae9f9cb27f6273cf129bb62,application/pdf,2025-05-07,2026-07-27,
sd_sddot_bid_tabs_2025_05_07_final,sd_sddot_bid_tabs_2025_05_07,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/05072025final.pdf,05072025final.pdf,0db6fee6434af2cf8e0214bec78a832e50a3a0df022b77fb9be7f3bb9f7ecabd,application/pdf,2025-05-07,2026-07-27,
sd_sddot_bid_tabs_2025_05_21_abstract,sd_sddot_bid_tabs_2025_05_21,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/05212025abstract.pdf,05212025abstract.pdf,332edc1f2a25a40d98cbddb6ca37eda52e88fadd64c92f07555443590ddfbeb2,application/pdf,2025-05-21,2026-07-27,
sd_sddot_bid_tabs_2025_05_21_final,sd_sddot_bid_tabs_2025_05_21,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/05212025final.pdf,05212025final.pdf,5b7b64fa1b7dadd8bc576868a21ba09d5babafb036b0dee812737dc1cc58ef83,application/pdf,2025-05-21,2026-07-27,
sd_sddot_bid_tabs_2025_06_04_abstract,sd_sddot_bid_tabs_2025_06_04,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/06042025abstract.pdf,06042025abstract.pdf,45ce75100ae14ea2c6df50108a08498ea4112092a51e985a8ddce1cc9322a1eb,application/pdf,2025-06-04,2026-07-27,
sd_sddot_bid_tabs_2025_06_04_final,sd_sddot_bid_tabs_2025_06_04,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/06042025final.pdf,06042025final.pdf,433c4cd676034da7487eff130b08f709376dcb74ac3d16ab7a18b709cb1bc6f2,application/pdf,2025-06-04,2026-07-27,
sd_sddot_bid_tabs_2025_07_02_abstract,sd_sddot_bid_tabs_2025_07_02,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/07022025abstract.pdf,07022025abstract.pdf,28afd87aabedc2d140de27775e0476846e6a934e7c5a0b3a4e5fc8741e86f9f6,application/pdf,2025-07-02,2026-07-27,
sd_sddot_bid_tabs_2025_07_02_final,sd_sddot_bid_tabs_2025_07_02,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/07022025final.pdf,07022025final.pdf,61b0af0ef4db14cdbe4915aaf28fe8e08be938140d532a75a0b1bb51b0fd87ae,application/pdf,2025-07-02,2026-07-27,
sd_sddot_bid_tabs_2025_07_16_abstract,sd_sddot_bid_tabs_2025_07_16,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/07162025abstract.pdf,07162025abstract.pdf,0bf35f47d81ff02b49a319c872a1520fd5ddd22ea1d732531a61c7c88a2b441b,application/pdf,2025-07-16,2026-07-27,
sd_sddot_bid_tabs_2025_07_16_final,sd_sddot_bid_tabs_2025_07_16,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/07162025final.pdf,07162025final.pdf,d282eee83cd8408b6933c941b44134613aef3498a317c3d69b33311e8e22a80d,application/pdf,2025-07-16,2026-07-27,
sd_sddot_bid_tabs_2025_08_06_abstract,sd_sddot_bid_tabs_2025_08_06,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/08062025abstract.pdf,08062025abstract.pdf,2284407a23266de4466d642f7264f97bc4b82d53c1b4629270cb41c7e5d09823,application/pdf,2025-08-06,2026-07-27,
sd_sddot_bid_tabs_2025_08_06_final,sd_sddot_bid_tabs_2025_08_06,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/08062025final.pdf,08062025final.pdf,9be50175f04c6168a97ed0ea4ef7d2984bcf41bddedc08c2481723bf7fb1d6d1,application/pdf,2025-08-06,2026-07-27,
sd_sddot_bid_tabs_2025_08_26_abstract,sd_sddot_bid_tabs_2025_08_26,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/08262025abstract.pdf,08262025abstract.pdf,1ffe669213afb36864622001c2ee3260ee66751e5a35b6b8ee8f4597242d234a,application/pdf,2025-08-26,2026-07-27,
sd_sddot_bid_tabs_2025_08_26_final,sd_sddot_bid_tabs_2025_08_26,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/08262025final.pdf,08262025final.pdf,12dcb51f593871d89e9660be0373bf49b85a641eff38efbc3aed4614f5f7269e,application/pdf,2025-08-26,2026-07-27,
sd_sddot_bid_tabs_2025_09_03_abstract,sd_sddot_bid_tabs_2025_09_03,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/09032025abstract.pdf,09032025abstract.pdf,7b7e7b4e3e0fb306700406c5fc9ed7f10f36ef15d0b84872be73c52535df350d,application/pdf,2025-09-03,2026-07-27,
sd_sddot_bid_tabs_2025_09_03_final,sd_sddot_bid_tabs_2025_09_03,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/09032025final.pdf,09032025final.pdf,e35cf50482221f753bda68acd106d1ac4b67219941b8d4748c9eecb06ff7768c,application/pdf,2025-09-03,2026-07-27,
sd_sddot_bid_tabs_2025_09_17_abstract,sd_sddot_bid_tabs_2025_09_17,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/09172025abstract.pdf,09172025abstract.pdf,851f2a7390992344e0a5c58cb4511a25aced776b2b24bb0905cf8763491a40d3,application/pdf,2025-09-17,2026-07-27,
sd_sddot_bid_tabs_2025_09_17_final,sd_sddot_bid_tabs_2025_09_17,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/09172025final.pdf,09172025final.pdf,2763cb17797d61806b836a44152ad787b81c939a85f253005d87a4ac9e40029d,application/pdf,2025-09-17,2026-07-27,
sd_sddot_bid_tabs_2025_10_01_abstract,sd_sddot_bid_tabs_2025_10_01,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/10012025abstract.pdf,10012025abstract.pdf,a5b5e3e54949f78c75762ba184bd71e10322ea6fca785797dfba669807b61fe7,application/pdf,2025-10-01,2026-07-27,
sd_sddot_bid_tabs_2025_10_01_final,sd_sddot_bid_tabs_2025_10_01,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/10012025final.pdf,10012025final.pdf,217d2c94eb7f2700f9d8da28f2b6d626412933bb6520631605fecb04f675b272,application/pdf,2025-10-01,2026-07-27,
