contract_project_id,contract_id,project_number,project_control_number,project_name,work_type,county_region,route,location,project_award_amount
sd_sddot_20211117_item_002_project_001,sd_sddot_20211117_item_002,P 0010(148)182,06D6,Mill & AC Resurfacing,Mill & AC Resurfacing,Campbell,,SD10 - Fm Pollock to US83,
sd_sddot_20211117_item_003_project_001,sd_sddot_20211117_item_003,BR CSBP(01),"07ME, 07NM, 07NK,",Structures Replacement,Structures Replacement,"Butte, Lawrence, Meade",,"Structure NW of Newell on Orman Rd, Structure S of St Onge on St Onge Rd, Structure SW of St Onge on St Onge Rd & Structure SE of Maurine on Opal Rd",
sd_sddot_20211117_item_004_project_001,sd_sddot_20211117_item_004,NH 0018(203)333,04V9,"Bridge, Grdg, Intersection Realignment","Bridge, Grdg, Intersection Realignment",Charles Mix,,US18 - 0.8 N of Pickstown Over Saint Francis Bay; US18 - Fm Pickstown to Lake Andes,
sd_sddot_20211117_item_005_project_001,sd_sddot_20211117_item_005,EM 0295(45)130,020V,Interchange Construction,Interchange Construction,Brookings,,I29 - At 20th St in Brookings (214th St),
sd_sddot_20211117_item_006_project_001,sd_sddot_20211117_item_006,IM 0906(75)263,"04NK, X05C",Interstate Cross Road Improvements,Interstate Cross Road Improvements,"Aurora, Brule, Davison, Hanson, McCook",,Various locations in the Mitchell Area & Rowley Street in Mitchell,
sd_sddot_20211117_item_007_project_001,sd_sddot_20211117_item_007,PH 0079(86)68,07N8,"Modify Intersection, Lighting","Modify Intersection, Lighting",Pennington,,SD79 - Intersection of Spring Creek Rd,
sd_sddot_20211201_item_001_project_001,sd_sddot_20211201_item_001,NH 0212(174)377,027D,"Grading, PCC Surf, C&G, ADA, Lighting","Grading, PCC Surf, C&G, ADA, Lighting",Codington,,US212 - Fm US81 to 19th St SE in Watertown,
sd_sddot_20211201_item_002_project_001,sd_sddot_20211201_item_002,2128119 ( ),X05D,Watermain Replacement,Watermain Replacement,Codington,,US212 - Fm US81 to 19th St SE in Watertown,
sd_sddot_20211201_item_003_project_001,sd_sddot_20211201_item_003,2119 ( ),X05V,Sanitary Sewer,Sanitary Sewer,Codington,,US212 - Fm US81 to 19th St SE in Watertown,
sd_sddot_20211201_item_004_project_001,sd_sddot_20211201_item_004,NH-PS 0012(187)106,04FL,Replace Structure & Approach Grading,Replace Structure & Approach Grading,Corson,,US12 - Strs 7.9 E of the Perkins Co Line & 0.2 W of SD65S over the Burlington Northern RR,
