letting_id,source_id,state,agency_id,letting_date,letting_label
sd_sddot_2020_06_17,sd_sddot_bid_tabs_2020_06_17,SD,sd_sddot,2020-06-17,"June 17, 2020"
sd_sddot_2020_07_15,sd_sddot_bid_tabs_2020_07_15,SD,sd_sddot,2020-07-15,"July 15, 2020"
sd_sddot_2020_08_05,sd_sddot_bid_tabs_2020_08_05,SD,sd_sddot,2020-08-05,"August 5, 2020"
sd_sddot_2020_08_19,sd_sddot_bid_tabs_2020_08_19,SD,sd_sddot,2020-08-19,"August 19, 2020"
sd_sddot_2020_09_02,sd_sddot_bid_tabs_2020_09_02,SD,sd_sddot,2020-09-02,"September 2, 2020"
sd_sddot_2020_09_16,sd_sddot_bid_tabs_2020_09_16,SD,sd_sddot,2020-09-16,"September 16, 2020"
sd_sddot_2020_10_07,sd_sddot_bid_tabs_2020_10_07,SD,sd_sddot,2020-10-07,"October 7, 2020"
sd_sddot_2020_10_21,sd_sddot_bid_tabs_2020_10_21,SD,sd_sddot,2020-10-21,"October 21, 2020"
sd_sddot_2020_11_04,sd_sddot_bid_tabs_2020_11_04,SD,sd_sddot,2020-11-04,"November 4, 2020"
sd_sddot_2020_11_18,sd_sddot_bid_tabs_2020_11_18,SD,sd_sddot,2020-11-18,"November 18, 2020"
sd_sddot_2020_12_02,sd_sddot_bid_tabs_2020_12_02,SD,sd_sddot,2020-12-02,"December 2, 2020"
sd_sddot_2020_12_09,sd_sddot_bid_tabs_2020_12_09,SD,sd_sddot,2020-12-09,"December 9, 2020"
sd_sddot_2021_01_20,sd_sddot_bid_tabs_2021_01_20,SD,sd_sddot,2021-01-20,"January 20, 2021"
sd_sddot_2021_02_03,sd_sddot_bid_tabs_2021_02_03,SD,sd_sddot,2021-02-03,"February 3, 2021"
sd_sddot_2021_02_17,sd_sddot_bid_tabs_2021_02_17,SD,sd_sddot,2021-02-17,"February 17, 2021"
sd_sddot_2021_03_03,sd_sddot_bid_tabs_2021_03_03,SD,sd_sddot,2021-03-03,"March 3, 2021"
