catalog_row_id,agency_item_id,agency_item_code,description,unit_raw,unit_normalized,specification_year,specification_reference,item_status,source_id,source_page,source_locator
ne_ndot_catalog_0003.64,ne_ndot_0003.64,0003.64,REPLACEMENT MODULE,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.64
ne_ndot_catalog_0003.65,ne_ndot_0003.65,0003.65,ENERGY ABSORPTION SYSTEM,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.65
ne_ndot_catalog_0003.66,ne_ndot_0003.66,0003.66,INERTIAL BARRIER SYSTEM,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.66
ne_ndot_catalog_0003.70,ne_ndot_0003.70,0003.70,TEMPORARY RUMBLE STRIP,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.70
ne_ndot_catalog_0003.74,ne_ndot_0003.74,0003.74,TEMPORARY TRAFFIC SIGNAL,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.74
ne_ndot_catalog_0003.75,ne_ndot_0003.75,0003.75,TEMPORARY TRAFFIC SIGNAL,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.75
ne_ndot_catalog_0003.76,ne_ndot_0003.76,0003.76,TEMPORARY TRAFFIC SIGNAL,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.76
ne_ndot_catalog_0003.77,ne_ndot_0003.77,0003.77,TEMPORARY TRAFFIC SIGNAL,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.77
ne_ndot_catalog_0003.78,ne_ndot_0003.78,0003.78,TEMPORARY TRAFFIC SIGNAL,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.78
ne_ndot_catalog_0003.79,ne_ndot_0003.79,0003.79,TEMPORARY TRAFFIC SIGNAL,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.79
ne_ndot_catalog_0003.81,ne_ndot_0003.81,0003.81,RELOCATE TEMPORARY TRAFFIC SIGNAL,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.81
ne_ndot_catalog_0003.95,ne_ndot_0003.95,0003.95,TOWING,HOUR,HOUR,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0003.95
ne_ndot_catalog_0005.00,ne_ndot_0005.00,0005.00,TRAFFIC CONTROL,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0005.00
ne_ndot_catalog_0005.02,ne_ndot_0005.02,0005.02,TRAFFIC CONTROL,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0005.02
